* Freq[Hz]     dBSPL  Phase[Deg]
1636.16     85.871  -137.415
1659.95     85.968   154.815
1684.10     86.119    85.214
1708.60     86.080    14.021
1733.45     85.981   -56.041
1758.66     85.992  -128.082
1784.24     85.952   158.429
1810.19     85.915    84.398
1836.52     85.927     8.877
1863.24     85.823   -67.914
1890.34     85.712  -144.830
1917.83     85.681   136.832
1945.73     85.540    57.481
1974.03     85.452   -22.055
2002.74     85.453  -104.197
2031.87     85.381   172.730
2061.43     85.355    90.033
2091.41     85.361     5.056
2121.83     85.403   -82.057
2152.69     85.445  -169.720
2184.01     85.509   102.087
2215.77     85.662    10.901
2248.00     85.535   -82.073
2280.70     85.526  -174.471
2313.87     85.572    88.848
2347.53     85.143    -7.695
2381.68     85.058  -103.418
2416.32     84.904   157.594
2451.46     84.512    59.046
2487.12     84.542   -41.443
2523.30     84.456  -144.202
2560.00     84.366   112.854
2597.24     84.416     8.540
2635.01     84.403   -98.649
2673.34     84.316   152.359
2712.23     84.300    42.734
2751.68     84.292   -70.011
2791.70     84.153   175.743
2832.31     84.118    60.297
2873.50     83.951   -57.007
2915.30     83.652  -175.229
2957.70     83.379    64.528
3000.72     82.972   -56.254
3044.37     82.665  -176.779
3088.65     82.522    59.667
3133.58     82.409   -64.860
3179.16     82.526   167.746
3225.40     82.554    39.005
3272.31     82.686   -91.480
3319.91     82.873   134.885
3368.20     83.008    -0.566
3417.19     83.204  -139.050
3466.89     83.195    81.765
3517.32     83.248   -60.027
3568.48     83.306   157.071
3620.39     83.547    12.980
3673.05     83.961  -134.478
3726.47     84.397    74.635
3780.67     84.787   -79.439
3835.67     85.085   124.213
3891.46     85.234   -34.726
3948.06     85.303   163.725
4005.49     85.334     0.702
4063.75     85.287  -164.217
4122.86     85.338    30.013
4182.82     85.511  -138.441
4243.66     85.891    49.253
4305.39     86.344  -125.266
4368.01     86.737    55.689
4431.55     86.940  -127.294
4496.01     86.970    47.633
4561.40     86.817  -138.626
4627.75     86.613    32.836
4695.06     86.500  -157.909
4763.35     86.463     9.674
4832.64     86.546   173.492
4902.93     86.589   -26.509
4974.24     86.476   130.011
5046.60     86.219   -76.087
5120.00     85.907    76.196
5194.47     85.733  -132.555
5270.03     85.734    15.529
5346.68     85.835   160.192
5424.45     85.984   -59.308
5503.35     86.024    76.234
5583.40     85.917  -150.884
5664.61     85.798   -20.382
5747.01     85.719   107.439
5830.60     85.748  -127.530
5915.41     85.924    -7.319
6001.45     86.003   108.405
6088.74     85.903  -138.760
6177.30     85.729   -29.556
6267.15     85.491    77.423
6358.31     85.423  -178.661
6450.80     85.530   -79.990
6544.62     85.529    14.852
6639.82     85.406   105.453
6736.40     85.141  -167.638
6834.38     84.874   -82.069
6933.79     84.851    -0.340
7034.64     84.852    75.485
7136.96     84.838   148.358
7240.77     84.830  -142.714
7346.09     84.902   -78.251
7452.94     85.162   -18.155
7561.35     85.523    36.675
7671.33     85.818    86.080
7782.91     85.978   130.523
7896.12     86.182   170.771
8010.97     86.361  -153.373
8127.49     86.578  -124.058
8245.71     86.691  -100.044
8365.65     86.650   -79.701
8487.33     86.594   -65.649
8610.78     86.403   -55.869
8736.03     86.096   -50.875
8863.09     85.637   -50.598
8992.01     85.093   -53.873
9122.80     84.540   -61.079
9255.50     84.123   -71.651
9390.12     83.982   -87.640
9526.70     84.047  -109.047
9665.27     84.333  -136.037
9805.86     84.730  -170.708
9948.49     85.108   147.720
10093.2     85.502   100.380
10240.0     85.934    46.025
10388.9     86.288   -15.358
10540.1     86.603   -82.632
10693.4     86.760  -156.991
10848.9     86.658   121.573
11006.7     86.455    35.100
11166.8     86.200   -56.976
11329.2     85.959  -154.952
11494.0     85.868   101.483
11661.2     85.921    -8.555
11830.8     86.045  -127.401
12002.9     86.181   106.645
12177.5     86.232   -26.113
12354.6     86.202  -167.641
12534.3     85.951    43.694
12716.6     85.587  -111.308
12901.6     85.187    87.459
13089.2     84.769   -79.594
13279.6     84.565   106.120
13472.8     84.555   -76.260
13668.8     84.726    93.644
13867.6     85.040  -105.917
14069.3     85.347    44.914
14273.9     85.539  -172.546
14481.5     85.603   -39.553
14692.2     85.573    84.042
14905.9     85.462  -159.560
15122.7     85.267   -52.291
15342.7     85.021    45.622
15565.8     84.627   135.556
15792.2     84.122  -142.840
16021.9     83.619   -69.052
16255.0     83.270    -4.359
16491.4     83.150    51.292
16731.3     83.237    97.210
16974.7     83.485   131.291
17221.6     83.697   154.567
17472.1     83.801   166.079
17726.2     83.663   166.169
17984.0     83.116   155.996
18245.6     82.275   137.647
18511.0     81.388   112.208
18780.2     80.862    77.229
19053.4     80.941    32.108
19330.5     81.430   -25.720
19611.7     82.082   -99.513
19897.0     82.502   171.985
20186.4     82.533    70.585
20480.0     82.233   -43.993
20777.9     81.472  -171.095
21080.1     80.231    52.351
21386.7     78.894   -92.228
21697.8     78.046   112.291
22013.4     77.865   -56.372
22333.6     78.121   116.938
22658.4     77.884   -91.023
22988.0     76.229    44.604
23322.4     73.258   170.213
23661.6     69.688   -70.695
24005.8     66.493    39.902
24355.0     63.645   136.128
24709.2     61.036  -144.877
25068.6     59.126   -90.212
25433.2     57.708   -59.713
25803.2     56.877   -43.042
26178.5     58.040   -36.448
26559.3     60.399   -43.423
26945.6     63.023   -59.489
27337.5     66.086   -90.035
27735.2     68.244  -141.395
28138.6     69.525   155.293
28547.9     70.636    77.419
28963.1     71.579   -17.568
29384.4     72.382  -129.876
29811.8     72.886   101.103
30245.4     73.201   -43.496
30685.3     73.661   154.290
31131.7     74.186   -26.087
31584.5     74.766   135.320
32043.9     75.308   -83.718
32510.0     75.569    36.140
32982.8     75.501   137.136
33462.6     75.173  -141.007
33949.3     74.632   -79.594
34443.1     73.697   -37.018
34944.1     72.489   -10.313
35452.4     71.614    -0.659
35968.0     71.189   -11.197
36491.2     71.080   -42.900
37022.0     71.231   -98.187
37560.5     71.258  -178.008
38106.8     71.239    81.095
38661.1     71.531   -41.785
39223.4     72.053   169.483
39793.9     72.544    -3.946
