"Early Reflections"											
"Floor Bounce"		"Ceiling Bounce"		"Front Wall Bounce"		"Side Wall Bounce"		"Rear Wall Bounce (full horizontal rear)"		"Total Early Reflection"	
"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"	"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"	"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"	"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"	"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"	"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"
840.82	82.3988	840.82	81.7221	840.82	84.056	840.82	81.1628	840.82	75.523	840.82	81.7214
870.117	83.4381	870.117	81.1599	870.117	84.2671	870.117	81.872	870.117	75.5492	870.117	82.0856
900.879	83.3801	900.879	81.1638	900.879	84.9498	900.879	81.2745	900.879	73.8618	900.879	82.146
933.105	84.139	933.105	80.3292	933.105	84.1837	933.105	80.2153	933.105	74.9138	933.105	81.8489
965.332	83.4699	965.332	83.2161	965.332	85.7525	965.332	81.7069	965.332	73.3669	965.332	82.9134
1,000.49	83.7044	1,000.49	80.898	1,000.49	84.7762	1,000.49	79.9198	1,000.49	74.9743	1,000.49	81.9733
1,035.64	83.0525	1,035.64	81.1375	1,035.64	84.4466	1,035.64	79.6125	1,035.64	71.8585	1,035.64	81.5661
1,072.27	83.1605	1,072.27	80.2935	1,072.27	83.3203	1,072.27	79.0416	1,072.27	73.2864	1,072.27	81.0061
1,108.89	82.1579	1,108.89	80.4317	1,108.89	83.3986	1,108.89	78.018	1,108.89	69.8209	1,108.89	80.5421
1,148.44	82.6138	1,148.44	79.3096	1,148.44	82.7394	1,148.44	77.7586	1,148.44	71.7187	1,148.44	80.2555
1,189.45	83.2641	1,189.45	80.2155	1,189.45	82.548	1,189.45	78.453	1,189.45	71.5476	1,189.45	80.6539
