"Horizontal Reflections"
"Front"		"Side"		"Rear"		"Total Horizontal Reflection"
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
1,803.22	90.2743	1,803.22	88.1196	1,803.22	76.3578	1,803.22	86.1289
1,866.21	89.8705	1,866.21	87.4411	1,866.21	75.8178	1,866.21	85.5989
1,932.13	89.2824	1,932.13	86.7491	1,932.13	74.7907	1,932.13	84.9435
1,999.51	89.3248	1,999.51	86.7657	1,999.51	75.2813	1,999.51	84.9991
2,069.82	89.9382	2,069.82	87.0305	2,069.82	75.0281	2,069.82	85.4244
2,143.07	90.2431	2,143.07	87.3925	2,143.07	75.0078	2,143.07	85.7374
2,219.24	89.9028	2,219.24	86.7914	2,219.24	74.7819	2,219.24	85.2982
2,296.88	88.4565	2,296.88	85.6188	2,296.88	73.6834	2,296.88	83.9777
2,378.91	88.8276	2,378.91	85.8649	2,378.91	73.7311	2,378.91	84.283
2,462.4	89.9364	2,462.4	86.8284	2,462.4	74.927	2,462.4	85.3384
2,548.83	90.2884	2,548.83	87.3257	2,548.83	74.7662	2,548.83	85.7249
2,639.65	89.1072	2,639.65	86.495	2,639.65	73.9704	2,639.65	84.7043
2,731.93	88.2675	2,731.93	85.1663	2,731.93	72.3306	2,731.93	83.6319
2,828.61	87.3662	2,828.61	85.4475	2,828.61	73.0259	2,828.61	83.3041
2,928.22	88.4921	2,928.22	86.0491	2,928.22	73.3634	2,928.22	84.1614
3,030.76	88.8054	3,030.76	86.5719	3,030.76	73.2811	3,030.76	84.5495
3,137.7	87.7998	3,137.7	86.4045	3,137.7	73.0943	3,137.7	83.9672
3,249.02	87.7486	3,249.02	85.1796	3,249.02	71.7535	3,249.02	83.3292
3,363.28	86.8849	3,363.28	84.8441	3,363.28	71.0765	3,363.28	82.7047
3,481.93	87.8103	3,481.93	85.218	3,481.93	70.5658	3,481.93	83.3409
3,604.98	87.3296	3,604.98	85.0864	3,604.98	71.9819	3,604.98	83.0765
3,732.42	88.5116	3,732.42	85.2175	3,732.42	71.8576	3,732.42	83.7744
3,864.26	88.0071	3,864.26	85.0689	3,864.26	72.4145	3,864.26	83.4505
4,000.49	87.9909	4,000.49	84.9635	4,000.49	71.2751	4,000.49	83.3569
