Freq[Hz]      Mag   Phase[Deg]
30.4020     69.939     0.000
30.8442     70.755     0.000
31.2929     71.505     0.000
31.7480     72.255     0.000
32.2098     72.980     0.000
32.6783     73.704     0.000
33.1536     74.412     0.000
33.6359     75.120     0.000
34.1251     75.768     0.000
34.6215     76.416     0.000
35.1250     76.984     0.000
35.6359     77.552     0.000
36.1543     78.059     0.000
36.6802     78.565     0.000
37.2137     79.003     0.000
37.7550     79.442     0.000
38.3041     79.747     0.000
38.8613     80.053     0.000
39.4265     80.233     0.000
40.0000     80.414     0.000
40.5818     80.526     0.000
41.1721     80.638     0.000
41.7710     80.678     0.000
42.3785     80.718     0.000
42.9949     80.671     0.000
43.6203     80.624     0.000
44.2548     80.512     0.000
44.8985     80.400     0.000
45.5515     80.300     0.000
46.2141     80.200     0.000
46.8863     80.141     0.000
47.5683     80.082     0.000
48.2602     80.062     0.000
48.9621     80.042     0.000
49.6743     80.081     0.000
50.3968     80.119     0.000
51.1299     80.158     0.000
51.8736     80.197     0.000
52.6281     80.235     0.000
53.3936     80.274     0.000
54.1702     80.305     0.000
54.9581     80.336     0.000
55.7575     80.305     0.000
56.5685     80.274     0.000
57.3914     80.241     0.000
58.2261     80.208     0.000
59.0730     80.191     0.000
59.9323     80.174     0.000
60.8040     80.101     0.000
61.6884     80.028     0.000
62.5857     79.984     0.000
63.4960     79.940     0.000
64.4196     79.968     0.000
65.3566     79.995     0.000
66.3073     79.998     0.000
67.2717     80.001     0.000
68.2502     79.960     0.000
69.2429     79.919     0.000
70.2501     79.849     0.000
71.2719     79.779     0.000
72.3086     79.730     0.000
73.3603     79.682     0.000
74.4274     79.708     0.000
75.5099     79.734     0.000
76.6083     79.814     0.000
77.7226     79.894     0.000
78.8531     79.937     0.000
80.0000     79.981     0.000
81.1636     79.953     0.000
82.3442     79.924     0.000
83.5419     79.917     0.000
84.7570     79.910     0.000
85.9899     79.915     0.000
87.2406     79.920     0.000
88.5096     79.893     0.000
89.7970     79.865     0.000
91.1031     79.888     0.000
92.4282     79.911     0.000
93.7726     79.977     0.000
95.1366     80.044     0.000
96.5204     80.047     0.000
97.9243     80.050     0.000
99.3486     79.997     0.000
100.794     79.943     0.000
102.260     79.949     0.000
103.747     79.955     0.000
105.256     79.985     0.000
106.787     80.015     0.000
108.340     80.017     0.000
109.916     80.019     0.000
111.515     80.019     0.000
113.137     80.019     0.000
114.783     80.020     0.000
116.452     80.020     0.000
118.146     80.034     0.000
119.865     80.049     0.000
121.608     80.091     0.000
123.377     80.133     0.000
125.171     80.132     0.000
126.992     80.130     0.000
128.839     80.078     0.000
130.713     80.027     0.000
132.615     79.963     0.000
134.543     79.899     0.000
136.500     79.820     0.000
138.486     79.741     0.000
140.500     79.716     0.000
142.544     79.690     0.000
144.617     79.730     0.000
146.721     79.771     0.000
148.855     79.809     0.000
151.020     79.848     0.000
153.217     79.889     0.000
155.445     79.930     0.000
157.706     79.968     0.000
160.000     80.005     0.000
162.327     80.012     0.000
164.688     80.019     0.000
167.084     80.019     0.000
169.514     80.019     0.000
171.980     80.019     0.000
174.481     80.019     0.000
177.019     80.019     0.000
179.594     80.019     0.000
182.206     80.017     0.000
184.856     80.015     0.000
187.545     79.980     0.000
190.273     79.946     0.000
193.041     79.870     0.000
195.849     79.793     0.000
198.697     79.742     0.000
201.587     79.690     0.000
204.520     79.727     0.000
207.494     79.763     0.000
210.512     79.825     0.000
213.574     79.887     0.000
216.681     79.844     0.000
219.833     79.800     0.000
223.030     79.700     0.000
226.274     79.599     0.000
229.565     79.561     0.000
232.905     79.523     0.000
236.292     79.539     0.000
239.729     79.555     0.000
243.216     79.573     0.000
246.754     79.591     0.000
250.343     79.577     0.000
253.984     79.562     0.000
257.678     79.587     0.000
261.426     79.611     0.000
265.229     79.684     0.000
269.087     79.757     0.000
273.001     79.782     0.000
276.972     79.807     0.000
281.000     79.799     0.000
285.088     79.791     0.000
289.234     79.802     0.000
293.441     79.813     0.000
297.709     79.824     0.000
302.040     79.834     0.000
306.433     79.834     0.000
310.890     79.835     0.000
315.412     79.835     0.000
320.000     79.835     0.000
324.655     79.835     0.000
329.377     79.835     0.000
334.168     79.835     0.000
339.028     79.835     0.000
343.959     79.839     0.000
348.962     79.843     0.000
354.038     79.878     0.000
359.188     79.908     0.000
364.412     79.943     0.000
369.713     79.971     0.000
375.090     79.962     0.000
380.546     79.942     0.000
386.081     79.911     0.000
391.697     79.881     0.000
397.394     79.846     0.000
403.175     79.805     0.000
409.039     79.763     0.000
414.989     79.718     0.000
421.025     79.677     0.000
427.149     79.650     0.000
433.362     79.618     0.000
439.665     79.591     0.000
446.060     79.576     0.000
452.548     79.578     0.000
459.131     79.591     0.000
465.809     79.608     0.000
472.584     79.627     0.000
479.458     79.650     0.000
486.432     79.678     0.000
493.507     79.707     0.000
500.686     79.737     0.000
507.968     79.766     0.000
515.357     79.797     0.000
522.853     79.830     0.000
530.458     79.862     0.000
538.174     79.893     0.000
546.002     79.920     0.000
553.943     79.943     0.000
562.001     79.963     0.000
570.175     79.974     0.000
578.469     79.982     0.000
586.883     79.986     0.000
595.419     79.990     0.000
604.080     79.996     0.000
612.866     79.999     0.000
621.780     80.002     0.000
630.824     80.003     0.000
640.000     80.001     0.000
649.309     80.001     0.000
658.753     79.999     0.000
668.335     79.997     0.000
678.056     80.000     0.000
687.919     80.004     0.000
697.925     80.011     0.000
708.077     80.022     0.000
718.376     80.035     0.000
728.825     80.051     0.000
739.426     80.070     0.000
750.181     80.093     0.000
761.093     80.121     0.000
772.163     80.153     0.000
783.394     80.185     0.000
794.789     80.213     0.000
806.349     80.235     0.000
818.078     80.253     0.000
829.977     80.273     0.000
842.050     80.285     0.000
854.298     80.281     0.000
866.724     80.267     0.000
879.330     80.247     0.000
892.120     80.216     0.000
905.097     80.174     0.000
918.262     80.130     0.000
931.618     80.083     0.000
945.169     80.030     0.000
958.917     79.981     0.000
972.864     79.941     0.000
987.015     79.916     0.000
1001.37     79.907     0.000
1015.94     79.916     0.000
1030.71     79.954     0.000
1045.71     80.025     0.000
1060.92     80.125     0.000
1076.35     80.241     0.000
1092.00     80.371     0.000
1107.89     80.517     0.000
1124.00     80.663     0.000
1140.35     80.792     0.000
1156.94     80.907     0.000
1173.77     81.000     0.000
1190.84     81.068     0.000
1208.16     81.108     0.000
1225.73     81.118     0.000
1243.56     81.101     0.000
1261.65     81.061     0.000
1280.00     81.009     0.000
1298.62     80.944     0.000
1317.51     80.866     0.000
1336.67     80.782     0.000
1356.11     80.699     0.000
1375.84     80.616     0.000
1395.85     80.528     0.000
1416.15     80.428     0.000
1436.75     80.318     0.000
1457.65     80.199     0.000
1478.85     80.067     0.000
1500.36     79.926     0.000
1522.19     79.791     0.000
1544.33     79.676     0.000
1566.79     79.586     0.000
1589.58     79.535     0.000
1612.70     79.531     0.000
1636.16     79.569     0.000
1659.95     79.639     0.000
1684.10     79.725     0.000
1708.60     79.806     0.000
1733.45     79.866     0.000
1758.66     79.896     0.000
1784.24     79.882     0.000
1810.19     79.813     0.000
1836.52     79.692     0.000
1863.24     79.536     0.000
1890.34     79.345     0.000
1917.83     79.130     0.000
1945.73     78.905     0.000
1974.03     78.685     0.000
2002.74     78.496     0.000
2031.87     78.359     0.000
2061.43     78.282     0.000
2091.41     78.269     0.000
2121.83     78.315     0.000
2152.69     78.406     0.000
2184.01     78.526     0.000
2215.77     78.662     0.000
2248.00     78.789     0.000
2280.70     78.883     0.000
2313.87     78.935     0.000
2347.53     78.952     0.000
2381.68     78.947     0.000
2416.32     78.935     0.000
2451.46     78.946     0.000
2487.12     79.004     0.000
2523.30     79.118     0.000
2560.00     79.278     0.000
2597.24     79.454     0.000
2635.01     79.611     0.000
2673.34     79.714     0.000
2712.23     79.752     0.000
2751.68     79.728     0.000
2791.70     79.661     0.000
2832.31     79.579     0.000
2873.50     79.504     0.000
2915.30     79.436     0.000
2957.70     79.357     0.000
3000.72     79.250     0.000
3044.37     79.122     0.000
3088.65     79.023     0.000
3133.58     79.027     0.000
3179.16     79.180     0.000
3225.40     79.455     0.000
3272.31     79.759     0.000
3319.91     80.004     0.000
3368.20     80.157     0.000
3417.19     80.238     0.000
3466.89     80.303     0.000
3517.32     80.379     0.000
3568.48     80.429     0.000
3620.39     80.394     0.000
3673.05     80.245     0.000
3726.47     79.998     0.000
3780.67     79.717     0.000
3835.67     79.481     0.000
3891.46     79.331     0.000
3948.06     79.258     0.000
4005.49     79.238     0.000
4063.75     79.282     0.000
4122.86     79.415     0.000
4182.82     79.609     0.000
4243.66     79.780     0.000
4305.39     79.879     0.000
4368.01     79.939     0.000
4431.55     80.007     0.000
4496.01     80.073     0.000
4561.40     80.129     0.000
4627.75     80.221     0.000
4695.06     80.358     0.000
4763.35     80.447     0.000
4832.64     80.387     0.000
4902.93     80.200     0.000
4974.24     80.024     0.000
5046.60     79.982     0.000
5120.00     80.047     0.000
5194.47     80.047     0.000
5270.03     79.874     0.000
5346.68     79.599     0.000
5424.45     79.354     0.000
5503.35     79.229     0.000
5583.40     79.329     0.000
5664.61     79.619     0.000
5747.01     79.848     0.000
5830.60     79.883     0.000
5915.41     79.834     0.000
6001.45     79.760     0.000
6088.74     79.544     0.000
6177.30     79.107     0.000
6267.15     78.526     0.000
6358.31     77.994     0.000
6450.80     77.754     0.000
6544.62     77.883     0.000
6639.82     78.156     0.000
6736.40     78.286     0.000
6834.38     78.328     0.000
6933.79     78.505     0.000
7034.64     78.720     0.000
7136.96     78.879     0.000
7240.77     79.084     0.000
7346.09     79.337     0.000
7452.94     79.549     0.000
7561.35     79.649     0.000
7671.33     79.640     0.000
7782.91     79.626     0.000
7896.12     79.746     0.000
8010.97     79.934     0.000
8127.49     80.015     0.000
8245.71     80.021     0.000
8365.65     79.991     0.000
8487.33     79.900     0.000
8610.78     79.732     0.000
8736.03     79.531     0.000
8863.09     79.389     0.000
8992.01     79.298     0.000
9122.80     79.316     0.000
9255.50     79.491     0.000
9390.12     79.707     0.000
9526.70     79.844     0.000
9665.27     79.870     0.000
9805.86     79.834     0.000
9948.49     79.720     0.000
10093.2     79.610     0.000
10240.0     79.670     0.000
10388.9     79.859     0.000
10540.1     79.993     0.000
10693.4     79.930     0.000
10848.9     79.624     0.000
11006.7     79.195     0.000
11166.8     78.896     0.000
11329.2     78.858     0.000
11494.0     78.995     0.000
11661.2     79.156     0.000
11830.8     79.173     0.000
12002.9     78.930     0.000
12177.5     78.579     0.000
12354.6     78.561     0.000
12534.3     79.031     0.000
12716.6     79.509     0.000
12901.6     79.498     0.000
13089.2     79.013     0.000
13279.6     78.507     0.000
13472.8     78.353     0.000
13668.8     78.424     0.000
13867.6     78.341     0.000
14069.3     78.004     0.000
14273.9     77.632     0.000
14481.5     77.498     0.000
14692.2     77.650     0.000
14905.9     77.848     0.000
15122.7     77.901     0.000
15342.7     77.851     0.000
15565.8     77.973     0.000
15792.2     78.293     0.000
16021.9     78.510     0.000
16255.0     78.554     0.000
16491.4     78.585     0.000
16731.3     78.654     0.000
16974.7     78.696     0.000
17221.6     78.728     0.000
17472.1     78.708     0.000
17726.2     78.637     0.000
17984.0     78.730     0.000
18245.6     78.895     0.000
18511.0     78.788     0.000
18780.2     78.472     0.000
19053.4     78.251     0.000
19330.5     78.039     0.000
19611.7     77.536     0.000
19897.0     76.936     0.000
20186.4     76.904     0.000
20480.0     76.871     0.000
20777.9     76.839     0.000
21080.1     76.807     0.000
21386.7     76.774     0.000
21697.8     76.742     0.000
22013.4     76.710     0.000
22333.6     76.677     0.000
22658.4     76.645     0.000
22988.0     76.613     0.000
23322.4     76.580     0.000
23661.6     76.548     0.000
24005.8     76.516     0.000
24355.0     76.483     0.000
24709.2     76.451     0.000
25068.6     76.419     0.000
25433.2     76.386     0.000
25803.2     76.354     0.000
26178.5     76.322     0.000
26559.3     76.289     0.000
26945.6     76.257     0.000
27337.5     76.225     0.000
27735.2     76.192     0.000
28138.6     76.160     0.000
28547.9     76.128     0.000
28963.1     76.095     0.000
29384.4     76.063     0.000
29811.8     76.031     0.000
30245.4     75.998     0.000
30685.3     75.966     0.000
31131.7     75.934     0.000
31584.5     75.901     0.000
32043.9     75.869     0.000
32510.0     75.837     0.000
32982.8     75.804     0.000
33462.6     75.772     0.000
33949.3     75.740     0.000
34443.1     75.707     0.000
34944.1     75.675     0.000
35452.4     75.643     0.000
35968.0     75.610     0.000
36491.2     75.578     0.000
37022.0     75.546     0.000
37560.5     75.513     0.000
38106.8     75.481     0.000
38661.1     75.449     0.000
39223.4     75.416     0.000
39793.9     75.384     0.000
