Freq[Hz]      Mag   Phase[Deg]
121.608     80.002     0.000
123.377     80.045     0.000
125.171     80.050     0.000
126.992     80.054     0.000
128.839     80.002     0.000
130.713     79.944     0.000
132.615     79.872     0.000
134.543     79.803     0.000
136.500     79.723     0.000
138.486     79.645     0.000
140.500     79.623     0.000
142.544     79.602     0.000
144.617     79.643     0.000
146.721     79.677     0.000
148.855     79.702     0.000
151.020     79.727     0.000
153.217     79.761     0.000
155.445     79.802     0.000
157.706     79.842     0.000
160.000     79.877     0.000
162.327     79.877     0.000
164.688     79.878     0.000
167.084     79.877     0.000
169.514     79.878     0.000
171.980     79.874     0.000
174.481     79.867     0.000
177.019     79.865     0.000
179.594     79.867     0.000
182.206     79.871     0.000
184.856     79.876     0.000
187.545     79.842     0.000
190.273     79.800     0.000
193.041     79.717     0.000
195.849     79.641     0.000
198.697     79.592     0.000
201.587     79.532     0.000
204.520     79.558     0.000
207.494     79.595     0.000
210.512     79.660     0.000
213.574     79.716     0.000
216.681     79.661     0.000
219.833     79.612     0.000
223.030     79.510     0.000
226.274     79.416     0.000
229.565     79.387     0.000
232.905     79.347     0.000
236.292     79.350     0.000
239.729     79.356     0.000
243.216     79.375     0.000
246.754     79.391     0.000
250.343     79.372     0.000
253.984     79.358     0.000
257.678     79.381     0.000
261.426     79.397     0.000
265.229     79.467     0.000
269.087     79.546     0.000
273.001     79.573     0.000
276.972     79.600     0.000
281.000     79.593     0.000
285.088     79.588     0.000
289.234     79.608     0.000
293.441     79.623     0.000
297.709     79.632     0.000
302.040     79.634     0.000
306.433     79.627     0.000
310.890     79.635     0.000
315.412     79.644     0.000
320.000     79.643     0.000
324.655     79.641     0.000
329.377     79.646     0.000
334.168     79.651     0.000
339.028     79.649     0.000
343.959     79.653     0.000
348.962     79.654     0.000
354.038     79.683     0.000
359.188     79.710     0.000
364.412     79.742     0.000
369.713     79.768     0.000
375.090     79.764     0.000
380.546     79.753     0.000
386.081     79.721     0.000
391.697     79.685     0.000
397.394     79.655     0.000
403.175     79.620     0.000
409.039     79.577     0.000
414.989     79.529     0.000
421.025     79.476     0.000
427.149     79.426     0.000
433.362     79.382     0.000
439.665     79.350     0.000
446.060     79.327     0.000
452.548     79.314     0.000
459.131     79.309     0.000
465.809     79.312     0.000
472.584     79.323     0.000
479.458     79.337     0.000
486.432     79.349     0.000
493.507     79.362     0.000
500.686     79.374     0.000
507.968     79.383     0.000
515.357     79.400     0.000
522.853     79.422     0.000
530.458     79.441     0.000
538.174     79.455     0.000
546.002     79.467     0.000
553.943     79.481     0.000
562.001     79.492     0.000
570.175     79.496     0.000
578.469     79.502     0.000
586.883     79.507     0.000
595.419     79.512     0.000
604.080     79.516     0.000
612.866     79.516     0.000
621.780     79.518     0.000
630.824     79.519     0.000
640.000     79.521     0.000
649.309     79.522     0.000
658.753     79.526     0.000
668.335     79.533     0.000
678.056     79.537     0.000
687.919     79.543     0.000
697.925     79.552     0.000
708.077     79.560     0.000
718.376     79.569     0.000
728.825     79.581     0.000
739.426     79.596     0.000
750.181     79.612     0.000
761.093     79.631     0.000
772.163     79.648     0.000
783.394     79.664     0.000
794.789     79.679     0.000
806.349     79.691     0.000
818.078     79.700     0.000
829.977     79.706     0.000
842.050     79.707     0.000
854.298     79.700     0.000
866.724     79.685     0.000
879.330     79.666     0.000
892.120     79.638     0.000
905.097     79.604     0.000
918.262     79.565     0.000
931.618     79.523     0.000
945.169     79.477     0.000
958.917     79.434     0.000
972.864     79.398     0.000
987.015     79.373     0.000
1001.37     79.361     0.000
1015.94     79.366     0.000
1030.71     79.394     0.000
1045.71     79.447     0.000
1060.92     79.519     0.000
1076.35     79.607     0.000
1092.00     79.708     0.000
1107.89     79.818     0.000
1124.00     79.929     0.000
1140.35     80.031     0.000
1156.94     80.120     0.000
1173.77     80.191     0.000
1190.84     80.244     0.000
1208.16     80.270     0.000
1225.73     80.270     0.000
1243.56     80.247     0.000
1261.65     80.209     0.000
1280.00     80.157     0.000
1298.62     80.095     0.000
1317.51     80.023     0.000
1336.67     79.941     0.000
1356.11     79.856     0.000
1375.84     79.767     0.000
1395.85     79.672     0.000
1416.15     79.563     0.000
1436.75     79.439     0.000
1457.65     79.298     0.000
1478.85     79.144     0.000
1500.36     78.984     0.000
1522.19     78.832     0.000
1544.33     78.705     0.000
1566.79     78.616     0.000
1589.58     78.576     0.000
1612.70     78.585     0.000
1636.16     78.639     0.000
1659.95     78.720     0.000
1684.10     78.807     0.000
1708.60     78.879     0.000
1733.45     78.916     0.000
1758.66     78.906     0.000
1784.24     78.846     0.000
1810.19     78.738     0.000
1836.52     78.591     0.000
1863.24     78.429     0.000
1890.34     78.268     0.000
1917.83     78.122     0.000
1945.73     77.998     0.000
1974.03     77.900     0.000
2002.74     77.827     0.000
2031.87     77.780     0.000
2061.43     77.751     0.000
2091.41     77.739     0.000
2121.83     77.749     0.000
2152.69     77.791     0.000
2184.01     77.865     0.000
2215.77     77.965     0.000
2248.00     78.072     0.000
2280.70     78.163     0.000
2313.87     78.223     0.000
2347.53     78.254     0.000
2381.68     78.265     0.000
2416.32     78.278     0.000
2451.46     78.315     0.000
2487.12     78.380     0.000
2523.30     78.463     0.000
2560.00     78.544     0.000
2597.24     78.602     0.000
2635.01     78.624     0.000
2673.34     78.612     0.000
2712.23     78.574     0.000
2751.68     78.527     0.000
2791.70     78.483     0.000
2832.31     78.447     0.000
2873.50     78.423     0.000
2915.30     78.406     0.000
2957.70     78.393     0.000
3000.72     78.383     0.000
3044.37     78.382     0.000
3088.65     78.407     0.000
3133.58     78.471     0.000
3179.16     78.578     0.000
3225.40     78.714     0.000
3272.31     78.854     0.000
3319.91     78.986     0.000
3368.20     79.112     0.000
3417.19     79.248     0.000
3466.89     79.400     0.000
