Freq[Hz]      Mag   Phase[Deg]
93.7726     79.065     0.000
95.1366     79.137     0.000
96.5204     79.159     0.000
97.9243     79.184     0.000
99.3486     79.133     0.000
100.794     79.053     0.000
102.260     79.011     0.000
103.747     78.966     0.000
105.256     78.957     0.000
106.787     78.977     0.000
108.340     78.992     0.000
109.916     79.007     0.000
111.515     78.999     0.000
113.137     78.971     0.000
114.783     78.936     0.000
116.452     78.903     0.000
118.146     78.891     0.000
119.865     78.887     0.000
121.608     78.921     0.000
123.377     78.970     0.000
125.171     78.986     0.000
126.992     78.999     0.000
128.839     78.946     0.000
130.713     78.880     0.000
132.615     78.799     0.000
134.543     78.720     0.000
136.500     78.625     0.000
138.486     78.534     0.000
140.500     78.504     0.000
142.544     78.480     0.000
144.617     78.516     0.000
146.721     78.535     0.000
148.855     78.540     0.000
151.020     78.552     0.000
153.217     78.583     0.000
155.445     78.624     0.000
157.706     78.659     0.000
160.000     78.685     0.000
162.327     78.673     0.000
164.688     78.664     0.000
167.084     78.651     0.000
169.514     78.639     0.000
171.980     78.620     0.000
174.481     78.595     0.000
177.019     78.574     0.000
179.594     78.562     0.000
182.206     78.554     0.000
184.856     78.545     0.000
187.545     78.496     0.000
190.273     78.443     0.000
193.041     78.349     0.000
195.849     78.258     0.000
198.697     78.185     0.000
201.587     78.103     0.000
204.520     78.114     0.000
207.494     78.135     0.000
210.512     78.183     0.000
213.574     78.225     0.000
216.681     78.159     0.000
219.833     78.091     0.000
223.030     77.970     0.000
226.274     77.857     0.000
229.565     77.808     0.000
232.905     77.750     0.000
236.292     77.737     0.000
239.729     77.724     0.000
243.216     77.723     0.000
246.754     77.720     0.000
250.343     77.677     0.000
253.984     77.644     0.000
257.678     77.646     0.000
261.426     77.635     0.000
265.229     77.684     0.000
269.087     77.745     0.000
273.001     77.751     0.000
276.972     77.755     0.000
281.000     77.726     0.000
285.088     77.699     0.000
289.234     77.696     0.000
293.441     77.691     0.000
297.709     77.686     0.000
302.040     77.673     0.000
306.433     77.645     0.000
310.890     77.628     0.000
315.412     77.624     0.000
320.000     77.620     0.000
324.655     77.604     0.000
329.377     77.592     0.000
334.168     77.586     0.000
339.028     77.578     0.000
343.959     77.568     0.000
348.962     77.551     0.000
354.038     77.573     0.000
359.188     77.597     0.000
364.412     77.620     0.000
369.713     77.633     0.000
375.090     77.624     0.000
380.546     77.611     0.000
386.081     77.576     0.000
391.697     77.542     0.000
397.394     77.513     0.000
403.175     77.477     0.000
409.039     77.435     0.000
414.989     77.387     0.000
421.025     77.331     0.000
427.149     77.280     0.000
433.362     77.228     0.000
439.665     77.186     0.000
446.060     77.152     0.000
452.548     77.126     0.000
459.131     77.104     0.000
465.809     77.087     0.000
472.584     77.073     0.000
479.458     77.057     0.000
486.432     77.036     0.000
493.507     77.015     0.000
500.686     76.991     0.000
507.968     76.962     0.000
515.357     76.931     0.000
522.853     76.902     0.000
530.458     76.873     0.000
538.174     76.839     0.000
546.002     76.800     0.000
553.943     76.763     0.000
562.001     76.725     0.000
570.175     76.683     0.000
578.469     76.640     0.000
586.883     76.602     0.000
595.419     76.568     0.000
604.080     76.539     0.000
612.866     76.513     0.000
621.780     76.496     0.000
630.824     76.487     0.000
640.000     76.483     0.000
649.309     76.486     0.000
658.753     76.497     0.000
668.335     76.518     0.000
678.056     76.545     0.000
687.919     76.577     0.000
697.925     76.613     0.000
708.077     76.651     0.000
718.376     76.691     0.000
728.825     76.733     0.000
739.426     76.776     0.000
750.181     76.817     0.000
761.093     76.855     0.000
772.163     76.889     0.000
783.394     76.918     0.000
794.789     76.943     0.000
806.349     76.960     0.000
818.078     76.968     0.000
829.977     76.973     0.000
842.050     76.973     0.000
854.298     76.965     0.000
866.724     76.952     0.000
879.330     76.934     0.000
892.120     76.912     0.000
905.097     76.884     0.000
918.262     76.852     0.000
931.618     76.818     0.000
945.169     76.780     0.000
958.917     76.738     0.000
972.864     76.696     0.000
987.015     76.656     0.000
1001.37     76.617     0.000
1015.94     76.579     0.000
1030.71     76.544     0.000
1045.71     76.516     0.000
1060.92     76.494     0.000
1076.35     76.476     0.000
1092.00     76.464     0.000
1107.89     76.456     0.000
1124.00     76.450     0.000
1140.35     76.444     0.000
1156.94     76.437     0.000
1173.77     76.426     0.000
1190.84     76.411     0.000
1208.16     76.383     0.000
1225.73     76.343     0.000
1243.56     76.292     0.000
1261.65     76.230     0.000
1280.00     76.156     0.000
1298.62     76.072     0.000
1317.51     75.973     0.000
1336.67     75.858     0.000
1356.11     75.735     0.000
1375.84     75.604     0.000
1395.85     75.462     0.000
1416.15     75.308     0.000
1436.75     75.141     0.000
1457.65     74.959     0.000
1478.85     74.767     0.000
1500.36     74.572     0.000
1522.19     74.380     0.000
1544.33     74.203     0.000
1566.79     74.052     0.000
1589.58     73.935     0.000
1612.70     73.860     0.000
1636.16     73.831     0.000
1659.95     73.840     0.000
1684.10     73.877     0.000
1708.60     73.929     0.000
1733.45     73.984     0.000
1758.66     74.032     0.000
1784.24     74.070     0.000
1810.19     74.097     0.000
1836.52     74.115     0.000
1863.24     74.131     0.000
1890.34     74.146     0.000
1917.83     74.155     0.000
1945.73     74.160     0.000
1974.03     74.163     0.000
2002.74     74.169     0.000
2031.87     74.188     0.000
2061.43     74.225     0.000
2091.41     74.286     0.000
2121.83     74.369     0.000
2152.69     74.473     0.000
2184.01     74.588     0.000
2215.77     74.706     0.000
2248.00     74.808     0.000
2280.70     74.881     0.000
2313.87     74.920     0.000
2347.53     74.930     0.000
2381.68     74.923     0.000
2416.32     74.916     0.000
2451.46     74.928     0.000
2487.12     74.965     0.000
2523.30     75.024     0.000
2560.00     75.090     0.000
2597.24     75.144     0.000
2635.01     75.175     0.000
2673.34     75.179     0.000
2712.23     75.160     0.000
2751.68     75.133     0.000
2791.70     75.114     0.000
2832.31     75.110     0.000
2873.50     75.117     0.000
2915.30     75.121     0.000
2957.70     75.106     0.000
3000.72     75.077     0.000
3044.37     75.061     0.000
3088.65     75.097     0.000
3133.58     75.214     0.000
3179.16     75.405     0.000
3225.40     75.621     0.000
3272.31     75.813     0.000
3319.91     75.954     0.000
3368.20     76.060     0.000
3417.19     76.164     0.000
3466.89     76.289     0.000
3517.32     76.424     0.000
3568.48     76.525     0.000
3620.39     76.551     0.000
3673.05     76.488     0.000
3726.47     76.359     0.000
3780.67     76.214     0.000
3835.67     76.092     0.000
3891.46     75.996     0.000
3948.06     75.908     0.000
4005.49     75.822     0.000
4063.75     75.752     0.000
4122.86     75.713     0.000
4182.82     75.708     0.000
4243.66     75.727     0.000
4305.39     75.763     0.000
4368.01     75.816     0.000
4431.55     75.873     0.000
4496.01     75.905     0.000
4561.40     75.882     0.000
4627.75     75.794     0.000
4695.06     75.672     0.000
4763.35     75.573     0.000
4832.64     75.530     0.000
4902.93     75.536     0.000
4974.24     75.576     0.000
5046.60     75.643     0.000
5120.00     75.713     0.000
5194.47     75.755     0.000
5270.03     75.757     0.000
5346.68     75.736     0.000
5424.45     75.703     0.000
5503.35     75.670     0.000
5583.40     75.684     0.000
5664.61     75.811     0.000
5747.01     76.033     0.000
5830.60     76.250     0.000
5915.41     76.388     0.000
6001.45     76.445     0.000
6088.74     76.452     0.000
6177.30     76.425     0.000
6267.15     76.347     0.000
6358.31     76.214     0.000
6450.80     76.070     0.000
6544.62     75.963     0.000
6639.82     75.889     0.000
6736.40     75.833     0.000
6834.38     75.808     0.000
6933.79     75.826     0.000
7034.64     75.845     0.000
7136.96     75.828     0.000
7240.77     75.773     0.000
7346.09     75.697     0.000
7452.94     75.608     0.000
7561.35     75.474     0.000
7671.33     75.272     0.000
7782.91     75.070     0.000
7896.12     74.982     0.000
8010.97     75.038     0.000
8127.49     75.201     0.000
8245.71     75.402     0.000
8365.65     75.530     0.000
8487.33     75.513     0.000
8610.78     75.373     0.000
8736.03     75.189     0.000
8863.09     75.036     0.000
8992.01     74.939     0.000
9122.80     74.940     0.000
9255.50     75.030     0.000
9390.12     75.163     0.000
9526.70     75.285     0.000
9665.27     75.322     0.000
9805.86     75.246     0.000
9948.49     75.049     0.000
10093.2     74.854     0.000
10240.0     74.788     0.000
10388.9     74.860     0.000
10540.1     74.935     0.000
10693.4     74.871     0.000
10848.9     74.637     0.000
11006.7     74.349     0.000
11166.8     74.177     0.000
11329.2     74.172     0.000
11494.0     74.271     0.000
11661.2     74.386     0.000
11830.8     74.445     0.000
12002.9     74.373     0.000
12177.5     74.162     0.000
12354.6     74.000     0.000
12534.3     74.107     0.000
12716.6     74.386     0.000
12901.6     74.516     0.000
13089.2     74.335     0.000
13279.6     74.003     0.000
13472.8     73.832     0.000
13668.8     73.901     0.000
13867.6     74.033     0.000
14069.3     74.069     0.000
14273.9     73.967     0.000
14481.5     73.792     0.000
14692.2     73.726     0.000
14905.9     73.818     0.000
15122.7     73.906     0.000
15342.7     73.867     0.000
15565.8     73.804     0.000
15792.2     73.849     0.000
16021.9     73.846     0.000
16255.0     73.607     0.000
16491.4     73.295     0.000
16731.3     73.123     0.000
16974.7     72.945     0.000
17221.6     72.710     0.000
17472.1     72.431     0.000
17726.2     72.080     0.000
17984.0     71.806     0.000
18245.6     71.671     0.000
18511.0     71.407     0.000
18780.2     70.932     0.000
19053.4     70.501     0.000
19330.5     70.152     0.000
19611.7     69.641     0.000
19897.0     69.113     0.000
20186.4     69.041     0.000
20480.0     68.970     0.000
20777.9     68.901     0.000
21080.1     68.832     0.000
21386.7     68.764     0.000
21697.8     68.697     0.000
22013.4     68.630     0.000
22333.6     68.565     0.000
22658.4     68.500     0.000
22988.0     68.435     0.000
23322.4     68.371     0.000
23661.6     68.309     0.000
24005.8     68.246     0.000
24355.0     68.184     0.000
24709.2     68.123     0.000
25068.6     68.063     0.000
25433.2     68.002     0.000
25803.2     67.943     0.000
26178.5     67.884     0.000
26559.3     67.825     0.000
26945.6     67.767     0.000
27337.5     67.709     0.000
27735.2     67.652     0.000
28138.6     67.595     0.000
28547.9     67.539     0.000
28963.1     67.483     0.000
29384.4     67.427     0.000
29811.8     67.372     0.000
30245.4     67.318     0.000
30685.3     67.263     0.000
31131.7     67.209     0.000
31584.5     67.156     0.000
32043.9     67.102     0.000
32510.0     67.050     0.000
32982.8     66.997     0.000
33462.6     66.944     0.000
33949.3     66.893     0.000
34443.1     66.841     0.000
34944.1     66.789     0.000
35452.4     66.738     0.000
35968.0     66.687     0.000
36491.2     66.636     0.000
37022.0     66.586     0.000
37560.5     66.536     0.000
38106.8     66.486     0.000
38661.1     66.437     0.000
39223.4     66.387     0.000
39793.9     66.338     0.000
