"Horizontal Reflections"							
"Front"		"Side"		"Rear"		"Total Horizontal Reflection"	
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
966.064	86.4018	966.064	82.8076	966.064	76.3554	966.064	82.0612
999.756	86.0035	999.756	82.6673	999.756	76.081	999.756	81.7672
1,034.91	86.031	1,034.91	82.5124	1,034.91	75.6187	1,034.91	81.6657
1,071.53	85.3101	1,071.53	81.8738	1,071.53	74.5342	1,071.53	80.927
1,109.62	85.0391	1,109.62	81.5828	1,109.62	74.1498	1,109.62	80.6356
1,148.44	85.1515	1,148.44	81.6225	1,148.44	73.8956	1,148.44	80.6809
1,189.45	85.6863	1,189.45	81.8645	1,189.45	74.1589	1,189.45	81.087
1,231.2	85.7904	1,231.2	81.388	1,231.2	73.3844	1,231.2	80.9169
1,274.41	85.8666	1,274.41	80.9034	1,274.41	72.7892	1,274.41	80.7664
1,319.82	85.4767	1,319.82	80.4512	1,319.82	71.9239	1,319.82	80.3206
1,365.97	85.0459	1,365.97	80.3317	1,365.97	72.3853	1,365.97	80.0546
1,414.31	84.6586	1,414.31	80.0158	1,414.31	72.1677	1,414.31	79.7041
1,464.11	84.9704	1,464.11	80.4681	1,464.11	72.1718	1,464.11	80.0308
1,515.38	85.1714	1,515.38	80.7253	1,515.38	71.8867	1,515.38	80.2094
1,568.85	84.9719	1,568.85	80.7169	1,568.85	71.0888	1,568.85	80.0275
1,624.51	85.2518	1,624.51	79.9325	1,624.51	70.9299	1,624.51	79.9584
1,681.64	84.7176	1,681.64	79.4818	1,681.64	71.2124	1,681.64	79.506
1,740.97	85.0615	1,740.97	80.2704	1,740.97	70.9413	1,740.97	79.9336
1,802.49	85.5555	1,802.49	80.446	1,802.49	71.8395	1,802.49	80.3632
1,866.21	85.6883	1,866.21	80.2742	1,866.21	71.8154	1,866.21	80.4002
1,932.13	84.7343	1,932.13	80.2839	1,932.13	71.1563	1,932.13	79.7489
2,000.24	84.6806	2,000.24	80.7411	2,000.24	70.9269	2,000.24	79.8502
2,070.56	85.5372	2,070.56	80.8333	2,070.56	71.5192	2,070.56	80.4425
2,143.8	85.1841	2,143.8	79.9671	2,143.8	71.1707	2,143.8	79.9401
2,219.24	83.5695	2,219.24	79.428	2,219.24	69.8962	2,219.24	78.6768
2,297.61	83.8753	2,297.61	79.6638	2,297.61	69.3194	2,297.61	78.9032
2,378.17	84.3527	2,378.17	79.8279	2,378.17	68.527	2,378.17	79.2133
2,462.4	83.9542	2,462.4	78.9947	2,462.4	68.2032	2,462.4	78.6839
2,548.83	83.5031	2,548.83	78.6727	2,548.83	67.1029	2,548.83	78.2434
2,638.92	83.977	2,638.92	79.4695	2,638.92	67.7565	2,638.92	78.8262
2,731.93	84.1738	2,731.93	79.7519	2,731.93	67.7058	2,731.93	79.0409
2,828.61	84.5791	2,828.61	80.0863	2,828.61	68.1558	2,828.61	79.4248
2,928.22	84.3625	2,928.22	80.2151	2,928.22	67.8184	2,928.22	79.3185
3,031.49	84.3203	3,031.49	79.6318	3,031.49	66.7873	3,031.49	79.0644
3,138.43	84.6886	3,138.43	79.7238	3,138.43	67.1077	3,138.43	79.3456
3,249.02	84.5543	3,249.02	79.641	3,249.02	67.136	3,249.02	79.2321
3,363.28	84.2881	3,363.28	79.2789	3,363.28	66.9748	3,363.28	78.9404
3,481.93	84.2697	3,481.93	79.5185	3,481.93	67.6285	3,481.93	79.025
3,604.98	84.3241	3,604.98	79.5051	3,604.98	68.0012	3,604.98	79.0711
3,732.42	83.8759	3,732.42	79.1118	3,732.42	67.2962	3,732.42	78.6296
3,863.53	84.1493	3,863.53	79.3662	3,863.53	67.0891	3,863.53	78.8793
3,999.76	84.1566	3,999.76	79.0798	3,999.76	67.0323	3,999.76	78.7952
4,141.11	83.9547	4,141.11	78.985	4,141.11	66.7628	4,141.11	78.623
4,286.87	84.4911	4,286.87	79.4502	4,286.87	67.2671	4,286.87	79.1369
4,438.48	84.3462	4,438.48	79.6717	4,438.48	66.7645	4,438.48	79.0932
4,594.48	85.0498	4,594.48	80.3452	4,594.48	67.1037	4,594.48	79.7765
4,757.08	85.1852	4,757.08	80.5726	4,757.08	67.2394	4,757.08	79.9412
4,924.8	85.3808	4,924.8	80.045	4,924.8	66.4726	4,924.8	79.8915
5,098.39	84.9885	5,098.39	79.9476	5,098.39	67.3493	5,098.39	79.6207
5,277.83	84.6988	5,277.83	79.2286	5,277.83	65.7503	5,277.83	79.1703
5,463.87	84.4027	5,463.87	78.615	5,463.87	66.0888	5,463.87	78.8038
5,656.49	82.4512	5,656.49	79.0271	5,656.49	66.2309	5,656.49	77.6797
