"Contour Plot"		
""		
"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa)"	"Theta / deg"
3,451.17	41.7852	-180
3,457.03	41.6833	-180
3,462.89	41.6809	-180
3,468.75	41.7856	-180
3,474.61	41.9972	-180
3,480.47	42.3072	-180
3,486.33	42.701	-180
3,492.19	43.1603	-180
3,498.05	43.6662	-180
3,503.91	44.2008	-180
3,509.77	44.7494	-180
3,515.62	45.3002	-180
3,521.48	45.8446	-180
3,527.34	46.3765	-180
3,533.2	46.8919	-180
3,539.06	47.3883	-180
3,544.92	47.8644	-180
3,550.78	48.3195	-180
3,556.64	48.7535	-180
3,562.5	49.1667	-180
3,568.36	49.5595	-180
3,574.22	49.9325	-180
3,580.08	50.2863	-180
3,585.94	50.6216	-180
3,591.8	50.939	-180
3,597.66	51.2391	-180
3,603.52	51.5226	-180
3,609.38	51.7899	-180
3,615.23	52.0417	-180
3,621.09	52.2783	-180
3,626.95	52.5002	-180
3,632.81	52.7078	-180
3,638.67	52.9016	-180
3,644.53	53.0819	-180
3,650.39	53.249	-180
3,656.25	53.4035	-180
3,662.11	53.5455	-180
3,667.97	53.6755	-180
3,673.83	53.794	-180
3,679.69	53.9012	-180
3,685.55	53.9976	-180
3,691.41	54.0837	-180
3,697.27	54.16	-180
3,703.12	54.227	-180
3,708.98	54.2852	-180
3,714.84	54.3353	-180
3,720.7	54.3779	-180
3,726.56	54.4138	-180
3,732.42	54.4436	-180
3,738.28	54.4682	-180
3,744.14	54.4884	-180
3,750	54.5051	-180
3,755.86	54.5192	-180
3,761.72	54.5317	-180
3,767.58	54.5436	-180
3,773.44	54.5558	-180
3,779.3	54.5693	-180
3,785.16	54.585	-180
3,791.02	54.604	-180
3,796.88	54.627	-180
3,802.73	54.6548	-180
3,808.59	54.6882	-180
3,814.45	54.7277	-180
3,820.31	54.7736	-180
3,826.17	54.8265	-180
3,832.03	54.8863	-180
3,837.89	54.953	-180
3,843.75	55.0266	-180
3,849.61	55.1068	-180
3,855.47	55.1929	-180
3,861.33	55.2845	-180
3,867.19	55.381	-180
3,873.05	55.4814	-180
3,878.91	55.5849	-180
3,884.77	55.6908	-180
3,890.62	55.7979	-180
3,896.48	55.9055	-180
3,902.34	56.0125	-180
3,908.2	56.1181	-180
3,914.06	56.2214	-180
3,919.92	56.3216	-180
3,925.78	56.4179	-180
3,931.64	56.5096	-180
3,937.5	56.596	-180
3,943.36	56.6767	-180
3,949.22	56.751	-180
3,955.08	56.8187	-180
3,960.94	56.8793	-180
3,966.8	56.9326	-180
3,972.66	56.9782	-180
3,978.52	57.0162	-180
3,984.38	57.0465	-180
3,990.23	57.0689	-180
3,996.09	57.0837	-180
4,001.95	57.0908	-180
4,007.81	57.0906	-180
