* Freq[Hz]      Mag   Phase[Deg]
306.433     71.620     0.000
310.890     71.574     0.000
315.412     71.506     0.000
320.000     71.497     0.000
324.655     71.447     0.000
329.377     71.482     0.000
334.168     71.444     0.000
339.028     71.490     0.000
343.959     71.545     0.000
348.962     71.355     0.000
354.038     71.310     0.000
359.188     71.161     0.000
364.412     71.074     0.000
369.713     71.050     0.000
375.090     70.946     0.000
380.546     70.909     0.000
386.081     70.826     0.000
391.697     70.816     0.000
397.394     70.692     0.000
403.175     70.675     0.000
409.039     70.710     0.000
414.989     70.689     0.000
421.025     70.692     0.000
427.149     70.714     0.000
433.362     70.749     0.000
439.665     70.818     0.000
446.060     70.877     0.000
452.548     70.928     0.000
459.131     71.002     0.000
465.809     71.068     0.000
472.584     71.137     0.000
479.458     71.225     0.000
486.432     71.291     0.000
493.507     71.328     0.000
500.686     71.374     0.000
507.968     71.452     0.000
515.357     71.472     0.000
522.853     71.466     0.000
530.458     71.465     0.000
538.174     71.445     0.000
546.002     71.412     0.000
553.943     71.338     0.000
562.001     71.295     0.000
570.175     71.209     0.000
578.469     71.092     0.000
586.883     70.966     0.000
595.419     70.850     0.000
604.080     70.728     0.000
612.866     70.575     0.000
621.780     70.436     0.000
630.824     70.293     0.000
640.000     70.177     0.000
649.309     70.066     0.000
658.753     69.968     0.000
668.335     69.909     0.000
678.056     69.851     0.000
687.919     69.821     0.000
697.925     69.836     0.000
708.077     69.855     0.000
718.376     69.885     0.000
728.825     69.952     0.000
739.426     70.040     0.000
750.181     70.123     0.000
761.093     70.200     0.000
772.163     70.270     0.000
783.394     70.339     0.000
794.789     70.381     0.000
806.349     70.428     0.000
818.078     70.449     0.000
829.977     70.466     0.000
842.050     70.447     0.000
854.298     70.411     0.000
866.724     70.355     0.000
879.330     70.266     0.000
892.120     70.167     0.000
905.097     70.034     0.000
918.262     69.910     0.000
931.618     69.765     0.000
945.169     69.613     0.000
958.917     69.451     0.000
972.864     69.307     0.000
987.015     69.149     0.000
1001.37     69.009     0.000
