"SPL Vertical"
"On-Axis"		"10°"		"-10°"		"20°"		"-20°"		"30°"		"-30°"		"40°"		"-40°"		"50°"		"-50°"
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
45.4102	48.2087	45.4102	48.1227	45.4102	48.2947	45.4102	48.0394	45.4102	48.3781	45.4102	47.961	45.4102	48.4561	45.4102	47.8898	45.4102	48.5261	45.4102	47.8276	45.4102	48.5854
47.6074	51.2574	47.6074	51.1663	47.6074	51.3481	47.6074	51.0773	47.6074	51.4356	47.6074	50.9931	47.6074	51.517	47.6074	50.9157	47.6074	51.5895	47.6074	50.8473	47.6074	51.6506
49.0723	53.1444	49.0723	53.0545	49.0723	53.234	49.0723	52.9668	49.0723	53.3206	49.0723	52.8839	49.0723	53.4013	49.0723	52.8079	49.0723	53.4734	49.0723	52.7408	49.0723	53.5342
50.5371	54.8427	50.5371	54.7525	50.5371	54.9323	50.5371	54.6644	50.5371	55.0187	50.5371	54.5809	50.5371	55.099	50.5371	54.5043	50.5371	55.1704	50.5371	54.4365	50.5371	55.2303
52.7344	57.3048	52.7344	57.2136	52.7344	57.3957	52.7344	57.1247	52.7344	57.4835	52.7344	57.0407	52.7344	57.5654	52.7344	56.964	52.7344	57.6384	52.7344	56.8964	52.7344	57.7002
54.1992	58.8173	54.1992	58.7275	54.1992	58.907	54.1992	58.6403	54.1992	58.9939	54.1992	58.5583	54.1992	59.0751	54.1992	58.4837	54.1992	59.1478	54.1992	58.4187	54.1992	59.2094
56.3965	60.909	56.3965	60.8177	56.3965	60.9996	56.3965	60.7285	56.3965	61.0866	56.3965	60.6439	56.3965	61.1671	56.3965	60.5663	56.3965	61.2385	56.3965	60.498	56.3965	61.2981
58.5938	62.6685	58.5938	62.581	58.5938	62.7549	58.5938	62.4951	58.5938	62.8374	58.5938	62.4133	58.5938	62.9133	58.5938	62.3381	58.5938	62.9798	58.5938	62.2714	58.5938	63.0345
60.0586	63.7633	60.0586	63.6729	60.0586	63.8528	60.0586	63.5847	60.0586	63.9387	60.0586	63.5011	60.0586	64.018	60.0586	63.4246	60.0586	64.088	60.0586	63.3574	60.0586	64.1459
62.2559	65.0839	62.2559	64.9914	62.2559	65.1759	62.2559	64.9014	62.2559	65.2645	62.2559	64.8165	62.2559	65.3466	62.2559	64.7394	62.2559	65.4195	62.2559	64.6721	62.2559	65.4805
64.4531	66.1427	64.4531	66.0498	64.4531	66.2352	64.4531	65.9593	64.4531	66.3241	64.4531	65.8741	64.4531	66.4064	64.4531	65.7966	64.4531	66.4793	64.4531	65.7291	64.4531	66.5402
66.6504	66.968	66.6504	66.8738	66.6504	67.0615	66.6504	66.782	66.6504	67.1513	66.6504	66.6955	66.6504	67.2343	66.6504	66.6168	66.6504	67.3076	66.6504	66.5484	66.6504	67.3684
69.5801	67.8666	69.5801	67.7711	69.5801	67.9612	69.5801	67.6778	69.5801	68.0518	69.5801	67.5896	69.5801	68.1352	69.5801	67.5094	69.5801	68.2086	69.5801	67.4394	69.5801	68.2693
71.7773	68.3817	71.7773	68.2868	71.7773	68.4756	71.7773	68.194	71.7773	68.5653	71.7773	68.1064	71.7773	68.6478	71.7773	68.0267	71.7773	68.7202	71.7773	67.9572	71.7773	68.7797
73.9746	68.8341	73.9746	68.7388	73.9746	68.9286	73.9746	68.6458	73.9746	69.0189	73.9746	68.558	73.9746	69.1021	73.9746	68.4784	73.9746	69.175	73.9746	68.4093	73.9746	69.235
76.9043	69.3754	76.9043	69.2783	76.9043	69.4713	76.9043	69.1833	76.9043	69.5627	76.9043	69.0937	76.9043	69.6464	76.9043	69.0122	76.9043	69.7196	76.9043	68.9415	76.9043	69.7794
79.834	69.8875	79.834	69.7916	79.834	69.9821	79.834	69.6977	79.834	70.0722	79.834	69.6091	79.834	70.1546	79.834	69.5286	79.834	70.2262	79.834	69.4588	79.834	70.2844
