"Early Reflections"
"Floor Bounce"		"Ceiling Bounce"		"Front Wall Bounce"		"Side Wall Bounce"		"Rear Wall Bounce"		"Total Early Reflection"
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
3,863.53	103.52	3,863.53	100.019	3,863.53	104.434	3,863.53	98.3708	3,863.53	90.3079	3,863.53	101.46
3,999.76	103.366	3,999.76	99.9742	3,999.76	104.88	3,999.76	99.0188	3,999.76	90.9186	3,999.76	101.803
4,141.11	103	4,141.11	99.5716	4,141.11	104.517	4,141.11	98.9166	4,141.11	90.8866	4,141.11	101.494
4,286.87	102.725	4,286.87	99.2721	4,286.87	105.445	4,286.87	99.7373	4,286.87	90.9594	4,286.87	102.131
4,438.48	102.735	4,438.48	98.7472	4,438.48	105.621	4,438.48	99.9228	4,438.48	91.2332	4,438.48	102.25
4,594.48	102.672	4,594.48	98.4234	4,594.48	105.868	4,594.48	99.8332	4,594.48	90.4224	4,594.48	102.346
4,757.08	102.506	4,757.08	98.2678	4,757.08	106.368	4,757.08	99.815	4,757.08	89.2853	4,757.08	102.62
4,924.8	103.026	4,924.8	98.1038	4,924.8	106.301	4,924.8	99.6905	4,924.8	90.2712	4,924.8	102.614
5,098.39	103.182	5,098.39	97.4846	5,098.39	106.406	5,098.39	99.7919	5,098.39	90.8438	5,098.39	102.7
5,277.83	103.319	5,277.83	96.7532	5,277.83	105.865	5,277.83	99.8382	5,277.83	91.3909	5,277.83	102.375
5,463.87	103.196	5,463.87	95.6954	5,463.87	105.463	5,463.87	99.6832	5,463.87	90.3421	5,463.87	102.044
5,656.49	102.54	5,656.49	95.4854	5,656.49	104.865	5,656.49	99.0494	5,656.49	89.5026	5,656.49	101.438
5,856.45	101.931	5,856.45	95.517	5,856.45	104.416	5,856.45	98.28	5,856.45	87.8498	5,856.45	100.903
6,062.99	101.435	6,062.99	96.2443	6,062.99	104.582	6,062.99	98.1662	6,062.99	86.7424	6,062.99	100.934
6,276.86	101.126	6,276.86	96.2874	6,276.86	105.205	6,276.86	98.4983	6,276.86	86.8362	6,276.86	101.364
6,498.05	101.115	6,498.05	96.2174	6,498.05	105.22	6,498.05	98.8248	6,498.05	87.1384	6,498.05	101.438
6,727.29	101.609	6,727.29	96.5107	6,727.29	105.51	6,727.29	99.2583	6,727.29	86.243	6,727.29	101.777
6,964.6	101.638	6,964.6	97.0157	6,964.6	106.005	6,964.6	99.2385	6,964.6	86.4373	6,964.6	102.115
7,209.96	101.925	7,209.96	96.7826	7,209.96	105.814	7,209.96	98.9314	7,209.96	86.8272	7,209.96	101.953
7,464.11	102.146	7,464.11	96.5831	7,464.11	105.029	7,464.11	98.636	7,464.11	87.2183	7,464.11	101.417
7,727.78	101.75	7,727.78	96.8082	7,727.78	104.25	7,727.78	97.8291	7,727.78	86.5553	7,727.78	100.729
8,000.24	101.282	8,000.24	97.3325	8,000.24	104.104	8,000.24	97.0819	8,000.24	85.0492	8,000.24	100.454
8,282.23	100.971	8,282.23	97.7264	8,282.23	105.131	8,282.23	97.9487	8,282.23	84.5716	8,282.23	101.249
8,574.46	101.017	8,574.46	97.4168	8,574.46	106.551	8,574.46	99.1888	8,574.46	85.9921	8,574.46	102.43
8,876.22	101.96	8,876.22	97.092	8,876.22	106.889	8,876.22	99.4119	8,876.22	86.4741	8,876.22	102.779
9,189.7	102.284	9,189.7	96.7832	9,189.7	106.307	9,189.7	98.4918	9,189.7	86.048	9,189.7	102.246
9,513.43	102.096	9,513.43	96.7837	9,513.43	105.374	9,513.43	96.9108	9,513.43	83.1255	9,513.43	101.339
9,848.88	102.181	9,848.88	97.0153	9,848.88	105.176	9,848.88	96.1967	9,848.88	82.326	9,848.88	101.131
10,196.8	101.942	10,196.8	97.2114	10,196.8	105.774	10,196.8	96.6901	10,196.8	82.2701	10,196.8	101.584
10,556.4	102.223	10,556.4	96.6735	10,556.4	106.346	10,556.4	97.0426	10,556.4	82.4884	10,556.4	102.051
10,928.5	102.099	10,928.5	96.2025	10,928.5	106.576	10,928.5	96.9174	10,928.5	83.2474	10,928.5	102.177
11,313.7	102.446	11,313.7	95.7306	11,313.7	106.44	11,313.7	96.4363	11,313.7	84.0319	11,313.7	102.052
11,712.9	102.615	11,712.9	95.4976	11,712.9	106.047	11,712.9	95.5438	11,712.9	84.968	11,712.9	101.693
12,126	102.26	12,126	95.6143	12,126	105.802	12,126	95.3324	12,126	86.2237	12,126	101.45
12,553.7	101.992	12,553.7	94.9022	12,553.7	106.391	12,553.7	95.7716	12,553.7	87.6317	12,553.7	101.884
12,996.1	101.708	12,996.1	94.4379	12,996.1	106.817	12,996.1	96.1361	12,996.1	89.3365	12,996.1	102.213
13,454.6	102.05	13,454.6	94.2757	13,454.6	106.846	13,454.6	96.5305	13,454.6	90.6364	13,454.6	102.316
13,928.5	102.009	13,928.5	94.6597	13,928.5	106.384	13,928.5	96.2607	13,928.5	91.0989	13,928.5	101.946
14,419.9	101.676	14,419.9	94.8196	14,419.9	105.75	14,419.9	95.6338	14,419.9	90.7823	14,419.9	101.371
14,928.2	101.44	14,928.2	93.7319	14,928.2	106.392	14,928.2	94.8347	14,928.2	90.8611	14,928.2	101.739
15,454.8	101.764	15,454.8	95.221	15,454.8	106.508	15,454.8	95.1604	15,454.8	92.2739	15,454.8	101.937
15,999.8	101.844	15,999.8	96.0968	15,999.8	106.023	15,999.8	94.4807	15,999.8	92.274	15,999.8	101.548
16,564.5	101.436	16,564.5	96.3266	16,564.5	105.07	16,564.5	93.5036	16,564.5	92.4454	16,564.5	100.725
17,148.2	100.502	17,148.2	95.8328	17,148.2	104.629	17,148.2	93.1479	17,148.2	92.0856	17,148.2	100.226
17,753.2	99.5181	17,753.2	94.8626	17,753.2	104.65	17,753.2	93.4135	17,753.2	92.0105	17,753.2	100.115
18,379.4	98.7991	18,379.4	93.2374	18,379.4	103.549	18,379.4	92.8017	18,379.4	91.764	18,379.4	99.0957
19,027.6	97.8994	19,027.6	91.3867	19,027.6	101.364	19,027.6	91.3715	19,027.6	89.6777	19,027.6	97.152
19,698.5	97.2125	19,698.5	89.5834	19,698.5	100.803	19,698.5	90.164	19,698.5	88.2661	19,698.5	96.4618
19,999.5	96.19	19,999.5	87.9494	19,999.5	100.353	19,999.5	89.5739	19,999.5	87.5142	19,999.5	95.8953
