"Early Reflections"
"Floor Bounce"		"Ceiling Bounce"		"Front Wall Bounce"		"Side Wall Bounce"		"Rear Wall Bounce (full horizontal rear)"		"Total Early Reflection"
"Frequency [Hz]"	"Sound Pessure Level [dB]   [2.83  V @ 1. m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   [2.83  V @ 1. m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   [2.83  V @ 1. m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   [2.83  V @ 1. m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   [2.83  V @ 1. m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   [2.83  V @ 1. m]"
329.59	87.7323	329.59	83.6507	329.59	87.729	329.59	85.8629	329.59	79.449	329.59	85.7786
341.309	86.5745	341.309	83.3047	341.309	86.7086	341.309	85.2661	341.309	79.7995	341.309	84.966
353.027	86.3538	353.027	83.0643	353.027	86.5293	353.027	84.708	353.027	79.6171	353.027	84.6874
366.211	85.8827	366.211	83.4327	366.211	86.37	366.211	84.8326	366.211	79.8005	366.211	84.5976
379.395	87.3152	379.395	83.4851	379.395	87.4521	379.395	84.7563	379.395	78.5392	379.395	85.2856
392.578	87.2502	392.578	82.9136	392.578	87.4475	392.578	85.7711	392.578	79.162	392.578	85.4213
405.762	86.7579	405.762	82.8124	405.762	87.0529	405.762	85.5714	405.762	79.9204	405.762	85.1357
420.41	86.9212	420.41	82.3269	420.41	87.0966	420.41	84.62	420.41	79.5854	420.41	84.9308
435.059	86.204	435.059	82.79	435.059	86.8741	435.059	84.7549	435.059	78.8105	435.059	84.681
451.172	86.8713	451.172	83.046	451.172	87.2615	451.172	84.7211	451.172	78.5642	451.172	85.0213
465.82	87.1128	465.82	81.4831	465.82	86.5196	465.82	84.1408	465.82	79.0551	465.82	84.605
483.398	85.9135	483.398	81.1068	483.398	86.2278	483.398	82.6426	483.398	77.43	483.398	83.7215
499.512	84.0973	499.512	80.9812	499.512	84.8576	499.512	81.4635	499.512	75.1258	499.512	82.3597
517.09	85.4756	517.09	80.9843	517.09	84.9411	517.09	81.0377	517.09	75.7357	517.09	82.8089
536.133	87.3493	536.133	82.2458	536.133	87.5938	536.133	83.329	536.133	77.3816	536.133	84.9289
555.176	87.4317	555.176	82.9055	555.176	88.1795	555.176	84.0023	555.176	77.5056	555.176	85.3504
574.219	87.2454	574.219	82.3188	574.219	87.9412	574.219	84.0398	574.219	77.3382	574.219	85.1349
594.727	86.8462	594.727	83.0578	594.727	87.42	594.727	83.0995	594.727	76.7219	594.727	84.7398
615.234	87.5536	615.234	82.8244	615.234	87.9262	615.234	83.2491	615.234	76.7578	615.234	85.1587
637.207	86.3635	637.207	82.695	637.207	87.7604	637.207	83.4389	637.207	76.2259	637.207	84.7089
659.18	86.7099	659.18	82.5142	659.18	87.4865	659.18	83.0692	659.18	76.8087	659.18	84.6494
682.617	87.2776	682.617	82.7845	682.617	87.5266	682.617	83.0564	682.617	75.8465	682.617	84.8586
707.52	86.2581	707.52	82.6212	707.52	86.4024	707.52	82.1989	707.52	74.8024	707.52	83.9383
732.422	86.3919	732.422	82.5636	732.422	86.2974	732.422	81.4969	732.422	74.4576	732.422	83.8437
757.324	86.3696	757.324	81.9958	757.324	86.3027	757.324	81.0232	757.324	72.0486	757.324	83.6595
785.156	86.422	785.156	82.296	785.156	85.4239	785.156	80.2265	785.156	71.9321	785.156	83.3365
811.523	85.4315	811.523	83.4405	811.523	85.7113	811.523	80.7999	811.523	72.7819	811.523	83.3517
840.82	86.5701	840.82	83.0085	840.82	85.6212	840.82	80.6487	840.82	72.9037	840.82	83.6337
870.117	86.1149	870.117	82.255	870.117	85.1788	870.117	80.9193	870.117	71.4889	870.117	83.1975
900.879	85.9447	900.879	84.0314	900.879	84.2522	900.879	80.4386	900.879	72.3938	900.879	83.1818
933.105	85.7643	933.105	82.3704	933.105	84.442	933.105	79.6407	933.105	71.2299	933.105	82.7096
965.332	85.2028	965.332	81.6891	965.332	84.6307	965.332	79.694	965.332	71.5624	965.332	82.4396
1,000.49	84.3326	1,000.49	81.01	1,000.49	84.2791	1,000.49	78.761	1,000.49	69.0832	1,000.49	81.7522
1,035.64	84.2745	1,035.64	82.0483	1,035.64	84.7651	1,035.64	79.2859	1,035.64	69.6855	1,035.64	82.1567
1,072.27	84.2744	1,072.27	82.4007	1,072.27	84.6077	1,072.27	78.7637	1,072.27	68.8465	1,072.27	82.1122
1,108.89	84.5401	1,108.89	81.8199	1,108.89	84.8561	1,108.89	79.0941	1,108.89	68.0557	1,108.89	82.201
1,148.44	84.6584	1,148.44	81.6817	1,148.44	85.6833	1,148.44	79.2671	1,148.44	69.3784	1,148.44	82.5664
