"Vertical Reflections"					
"Floor Reflection"		"Ceiling Reflection"		"Total Vertical Reflection"	
"Frequency [Hz]"	"Sound Pessure Level [dB]   [2.83  V @ 1. m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   [2.83  V @ 1. m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   [2.83  V @ 1. m]"
8,573.73	85.7157	8,573.73	80.7356	8,573.73	83.9035
8,876.95	85.6557	8,876.95	80.9193	8,876.95	83.9035
9,188.96	85.6366	9,188.96	79.1316	9,188.96	83.5027
9,514.16	85.9077	9,514.16	77.856	9,514.16	83.5293
9,849.61	85.8123	9,849.61	78.2896	9,849.61	83.5094
10,196.8	85.9876	10,196.8	78.4837	10,196.8	83.6875
10,555.7	85.8488	10,555.7	78.7959	10,555.7	83.6198
10,927.7	85.611	10,927.7	79.4807	10,927.7	83.548
11,313	85.8209	11,313	80.625	11,313	83.9576
11,712.9	86.1711	11,712.9	82.2094	11,712.9	84.6272
12,126	85.9552	12,126	82.2088	12,126	84.4741
12,553.7	86.6002	12,553.7	81.0593	12,553.7	84.6593
12,996.1	88.0214	12,996.1	79.6113	12,996.1	85.5961
13,454.6	87.6015	13,454.6	73.5617	13,454.6	84.7592
13,929.2	86.2519	13,929.2	73.2498	13,929.2	83.4539
14,419.9	82.0628	14,419.9	76.1289	14,419.9	80.0391
14,928.2	78.6752	14,928.2	76.0471	14,928.2	77.557
15,455.6	68.3461	15,455.6	71.6832	15,455.6	70.3276
16,000.5	67.7046	16,000.5	69.4352	16,000.5	68.6556
16,564.5	70.8571	16,564.5	67.3333	16,564.5	69.4432
17,148.9	72.8695	17,148.9	67.7618	17,148.9	71.0269
17,752.4	72.8073	17,752.4	72.4907	17,752.4	72.6519
18,379.4	75.6107	18,379.4	75.295	18,379.4	75.4557
19,026.9	75.5275	19,026.9	77.4127	19,026.9	76.5716
19,697.8	77.7605	19,697.8	76.4536	19,697.8	77.156
19,999.5	77.8459	19,999.5	73.4641	19,999.5	76.1857
