"CEA2034"													
"On Axis"		"Listening Window"		"Early Reflections"		"Sound Power"		"Sound Power DI"		"Early Reflections DI"		"DI offset"	
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
331.055	87.8217	331.055	87.673	331.055	86.6973	331.055	85.3948	331.055	52.2576	331.055	50.9551	331.055	49.9794
342.773	89.1733	342.773	88.9952	342.773	87.8112	342.773	86.3862	342.773	52.5884	342.773	51.1634	342.773	49.9794
354.492	88.9791	354.492	88.8642	354.492	87.875	354.492	86.3336	354.492	52.51	354.492	50.9686	354.492	49.9794
366.211	88.6979	366.211	88.6096	366.211	87.7157	366.211	86.0637	366.211	52.5253	366.211	50.8733	366.211	49.9794
377.93	88.307	377.93	88.2377	377.93	87.5525	377.93	86.2134	377.93	52.0036	377.93	50.6646	377.93	49.9794
392.578	87.8677	392.578	87.7842	392.578	87.0281	392.578	85.6746	392.578	52.089	392.578	50.7355	392.578	49.9794
407.227	87.627	407.227	87.5457	407.227	86.7884	407.227	85.4694	407.227	52.0557	407.227	50.7368	407.227	49.9794
421.875	86.6215	421.875	86.6584	421.875	86.5211	421.875	85.9409	421.875	50.697	421.875	50.1167	421.875	49.9794
436.523	87.7146	436.523	87.5135	436.523	86.6404	436.523	85.8445	436.523	51.6483	436.523	50.8525	436.523	49.9794
451.172	89.0442	451.172	88.8496	451.172	87.6453	451.172	85.8733	451.172	52.9557	451.172	51.1837	451.172	49.9794
465.82	88.8304	465.82	88.6594	465.82	87.558	465.82	85.7313	465.82	52.9076	465.82	51.0808	465.82	49.9794
483.398	88.6696	483.398	88.5087	483.398	87.438	483.398	85.4366	483.398	53.0515	483.398	51.0501	483.398	49.9794
500.977	88.5022	500.977	88.3633	500.977	87.449	500.977	85.4929	500.977	52.8498	500.977	50.8936	500.977	49.9794
518.555	88.3745	518.555	88.1401	518.555	87.0056	518.555	85.1728	518.555	52.9467	518.555	51.114	518.555	49.9794
536.133	88.9535	536.133	88.6824	536.133	87.1862	536.133	84.9235	536.133	53.7382	536.133	51.4756	536.133	49.9794
553.711	88.5275	553.711	88.3158	553.711	87.0547	553.711	84.7553	553.711	53.5399	553.711	51.2406	553.711	49.9794
574.219	88.7989	574.219	88.5196	574.219	87.2306	574.219	84.8526	574.219	53.6465	574.219	51.2684	574.219	49.9794
594.727	88.9277	594.727	88.5594	594.727	87.0648	594.727	84.6951	594.727	53.8437	594.727	51.474	594.727	49.9794
615.234	89.2423	615.234	88.9391	615.234	87.6736	615.234	85.3397	615.234	53.5788	615.234	51.2449	615.234	49.9794
638.672	90.899	638.672	90.4845	638.672	88.7184	638.672	86.229	638.672	54.2349	638.672	51.7455	638.672	49.9794
659.18	90.6482	659.18	90.2562	659.18	88.4573	659.18	85.8397	659.18	54.3959	659.18	51.7782	659.18	49.9794
682.617	90.3893	682.617	90.0083	682.617	88.1978	682.617	85.7692	682.617	54.2185	682.617	51.7899	682.617	49.9794
706.055	90.8275	706.055	90.4444	706.055	88.1253	706.055	85.4819	706.055	54.9419	706.055	52.2984	706.055	49.9794
732.422	89.2943	732.422	89.0872	732.422	87.1042	732.422	84.6395	732.422	54.427	732.422	51.9624	732.422	49.9794
758.789	90.4027	758.789	90.1639	758.789	88.3532	758.789	85.9194	758.789	54.2239	758.789	51.7901	758.789	49.9794
785.156	91.0105	785.156	90.7148	785.156	88.9193	785.156	86.4516	785.156	54.2425	785.156	51.7749	785.156	49.9794
811.523	90.7069	811.523	90.4019	811.523	88.4458	811.523	86.1048	811.523	54.2765	811.523	51.9355	811.523	49.9794
840.82	90.2873	840.82	89.9889	840.82	88.143	840.82	85.9123	840.82	54.056	840.82	51.8253	840.82	49.9794
870.117	90.2432	870.117	89.904	870.117	87.8859	870.117	85.5754	870.117	54.308	870.117	51.9975	870.117	49.9794
902.344	90.2631	902.344	89.861	902.344	87.8809	902.344	85.3921	902.344	54.4482	902.344	51.9595	902.344	49.9794
931.641	90.2782	931.641	89.8821	931.641	87.7031	931.641	85.2209	931.641	54.6406	931.641	52.1584	931.641	49.9794
966.797	90.0665	966.797	89.6147	966.797	87.3401	966.797	84.6345	966.797	54.9597	966.797	52.2541	966.797	49.9794
999.023	89.2411	999.023	88.8833	999.023	86.7104	999.023	84.088	999.023	54.7746	999.023	52.1523	999.023	49.9794
1,034.18	88.2815	1,034.18	88.0603	1,034.18	86.1683	1,034.18	83.5997	1,034.18	54.44	1,034.18	51.8714	1,034.18	49.9794
1,072.27	87.8915	1,072.27	87.5154	1,072.27	85.7659	1,072.27	83.1396	1,072.27	54.3553	1,072.27	51.7289	1,072.27	49.9794
1,110.35	87.7266	1,110.35	87.0903	1,110.35	85.2921	1,110.35	82.3282	1,110.35	54.7415	1,110.35	51.7776	1,110.35	49.9794
1,148.44	88.1303	1,148.44	87.3619	1,148.44	85.414	1,148.44	82.5371	1,148.44	54.8042	1,148.44	51.9273	1,148.44	49.9794
1,189.45	88.0525	1,189.45	87.4225	1,189.45	85.1214	1,189.45	81.9123	1,189.45	55.4896	1,189.45	52.2805	1,189.45	49.9794
1,230.47	87.1439	1,230.47	86.8056	1,230.47	84.4474	1,230.47	80.8998	1,230.47	55.8852	1,230.47	52.3376	1,230.47	49.9794
1,274.41	86.7955	1,274.41	86.3966	1,274.41	83.9091	1,274.41	79.9898	1,274.41	56.3862	1,274.41	52.4669	1,274.41	49.9794
1,318.36	86.1266	1,318.36	85.6944	1,318.36	83.0873	1,318.36	79.0936	1,318.36	56.5802	1,318.36	52.5865	1,318.36	49.9794
1,365.23	85.5166	1,365.23	85.0345	1,365.23	82.2788	1,365.23	78.3558	1,365.23	56.6581	1,365.23	52.7351	1,365.23	49.9794
1,415.04	85.1729	1,415.04	84.4128	1,415.04	81.3431	1,415.04	77.1971	1,415.04	57.1951	1,415.04	53.0491	1,415.04	49.9794
1,464.84	85.284	1,464.84	84.4258	1,464.84	81.0863	1,464.84	76.6348	1,464.84	57.7703	1,464.84	53.3189	1,464.84	49.9794
1,514.65	85.3599	1,514.65	84.4941	1,514.65	81.1307	1,514.65	76.6328	1,514.65	57.8407	1,514.65	53.3428	1,514.65	49.9794
1,570.31	85.1452	1,570.31	84.1901	1,570.31	80.7469	1,570.31	76.2675	1,570.31	57.902	1,570.31	53.4227	1,570.31	49.9794
1,623.05	84.2514	1,623.05	83.3082	1,623.05	79.7656	1,623.05	75.4589	1,623.05	57.8287	1,623.05	53.522	1,623.05	49.9794
1,681.64	84.0166	1,681.64	83.1314	1,681.64	79.47	1,681.64	75.2547	1,681.64	57.8561	1,681.64	53.6408	1,681.64	49.9794
1,740.23	84.7253	1,740.23	83.7601	1,740.23	80.0238	1,740.23	75.6847	1,740.23	58.0548	1,740.23	53.7157	1,740.23	49.9794
1,801.76	84.9109	1,801.76	83.8268	1,801.76	80.0278	1,801.76	75.5865	1,801.76	58.2198	1,801.76	53.7784	1,801.76	49.9794
1,866.21	83.8299	1,866.21	83.1561	1,866.21	79.565	1,866.21	75.3797	1,866.21	57.7558	1,866.21	53.5705	1,866.21	49.9794
1,930.66	83.2557	1,930.66	82.4333	1,930.66	79.068	1,930.66	75.1724	1,930.66	57.2402	1,930.66	53.3446	1,930.66	49.9794
2,000.98	84.4435	2,000.98	83.4682	2,000.98	79.9548	2,000.98	75.9432	2,000.98	57.5043	2,000.98	53.4928	2,000.98	49.9794
2,071.29	85.1857	2,071.29	84.233	2,071.29	80.627	2,071.29	76.468	2,071.29	57.7444	2,071.29	53.5854	2,071.29	49.9794
2,144.53	84.8212	2,144.53	84.0119	2,144.53	80.6113	2,144.53	76.696	2,144.53	57.2953	2,144.53	53.38	2,144.53	49.9794
2,217.77	84.7993	2,217.77	83.8326	2,217.77	80.5973	2,217.77	76.768	2,217.77	57.044	2,217.77	53.2147	2,217.77	49.9794
2,296.88	85.9875	2,296.88	85.2717	2,296.88	81.9083	2,296.88	77.7431	2,296.88	57.508	2,296.88	53.3428	2,296.88	49.9794
2,378.91	86.4769	2,378.91	85.7352	2,378.91	82.406	2,378.91	78.2316	2,378.91	57.4829	2,378.91	53.3086	2,378.91	49.9794
2,460.94	86.6412	2,460.94	85.9054	2,460.94	82.6544	2,460.94	78.5811	2,460.94	57.3037	2,460.94	53.2303	2,460.94	49.9794
2,548.83	87.0306	2,548.83	86.2099	2,548.83	83.08	2,548.83	78.954	2,548.83	57.2353	2,548.83	53.1093	2,548.83	49.9794
2,639.65	87.8083	2,639.65	86.9598	2,639.65	83.7693	2,639.65	79.4485	2,639.65	57.4907	2,639.65	53.17	2,639.65	49.9794
2,733.4	88.0168	2,733.4	87.2398	2,733.4	84.0272	2,733.4	79.6764	2,733.4	57.5428	2,733.4	53.192	2,733.4	49.9794
2,827.15	88.3997	2,827.15	87.5636	2,827.15	84.3869	2,827.15	80.0028	2,827.15	57.5402	2,827.15	53.1561	2,827.15	49.9794
2,926.76	88.1371	2,926.76	87.3898	2,926.76	84.2708	2,926.76	79.9875	2,926.76	57.3816	2,926.76	53.0984	2,926.76	49.9794
3,032.23	88.2051	3,032.23	87.3719	3,032.23	84.1487	3,032.23	79.8673	3,032.23	57.484	3,032.23	53.2026	3,032.23	49.9794
3,137.7	88.4307	3,137.7	87.661	3,137.7	84.3679	3,137.7	80.0864	3,137.7	57.554	3,137.7	53.2725	3,137.7	49.9794
3,249.02	88.3316	3,249.02	87.5225	3,249.02	84.2234	3,249.02	79.9847	3,249.02	57.5173	3,249.02	53.2785	3,249.02	49.9794
3,363.28	88.009	3,363.28	87.2481	3,363.28	83.9467	3,363.28	79.7608	3,363.28	57.4667	3,363.28	53.2807	3,363.28	49.9794
3,483.4	88.5622	3,483.4	87.6334	3,483.4	84.1412	3,483.4	79.7988	3,483.4	57.814	3,483.4	53.4716	3,483.4	49.9794
3,606.45	88.2781	3,606.45	87.4304	3,606.45	83.8631	3,606.45	79.6144	3,606.45	57.7954	3,606.45	53.5467	3,606.45	49.9794
3,732.42	88.2275	3,732.42	87.2936	3,732.42	83.9342	3,732.42	79.7036	3,732.42	57.5694	3,732.42	53.3388	3,732.42	49.9794
3,864.26	88.4319	3,864.26	87.6625	3,864.26	84.2235	3,864.26	79.9587	3,864.26	57.6832	3,864.26	53.4184	3,864.26	49.9794
3,999.02	88.5256	3,999.02	87.9418	3,999.02	84.4003	3,999.02	80.2394	3,999.02	57.6818	3,999.02	53.5209	3,999.02	49.9794
4,139.65	88.6083	4,139.65	88.0058	4,139.65	84.5885	4,139.65	80.4358	4,139.65	57.5494	4,139.65	53.3967	4,139.65	49.9794
4,286.13	89.7464	4,286.13	88.7225	4,286.13	85.3227	4,286.13	80.9011	4,286.13	57.8009	4,286.13	53.3792	4,286.13	49.9794
4,438.48	89.4166	4,438.48	88.6201	4,438.48	85.1853	4,438.48	80.7731	4,438.48	57.8263	4,438.48	53.4142	4,438.48	49.9794
4,593.75	90.1989	4,593.75	89.144	4,593.75	85.6049	4,593.75	80.9326	4,593.75	58.1908	4,593.75	53.5185	4,593.75	49.9794
4,757.81	90.0676	4,757.81	88.8952	4,757.81	85.3958	4,757.81	80.7669	4,757.81	58.1077	4,757.81	53.4788	4,757.81	49.9794
4,924.8	90.1855	4,924.8	89.0209	4,924.8	85.3557	4,924.8	80.7116	4,924.8	58.2887	4,924.8	53.6447	4,924.8	49.9794
5,097.66	90.1228	5,097.66	88.895	5,097.66	85.16	5,097.66	80.472	5,097.66	58.4024	5,097.66	53.7143	5,097.66	49.9794
5,279.3	89.5772	5,279.3	88.4691	5,279.3	84.7505	5,279.3	80.1565	5,279.3	58.292	5,279.3	53.698	5,279.3	49.9794
5,463.87	90.1725	5,463.87	88.8824	5,463.87	84.9539	5,463.87	80.1176	5,463.87	58.7443	5,463.87	53.9079	5,463.87	49.9794
5,657.23	89.7285	5,657.23	88.5031	5,657.23	84.6108	5,657.23	79.8343	5,657.23	58.6481	5,657.23	53.8716	5,657.23	49.9794
5,856.45	89.8979	5,856.45	88.6184	5,856.45	84.6078	5,856.45	79.7727	5,856.45	58.8251	5,856.45	53.99	5,856.45	49.9794
6,061.52	90.0085	6,061.52	88.9045	6,061.52	84.79	6,061.52	79.884	6,061.52	58.9999	6,061.52	54.0938	6,061.52	49.9794
6,275.39	90.3007	6,275.39	89.1052	6,275.39	84.9374	6,275.39	79.9324	6,275.39	59.1523	6,275.39	54.1472	6,275.39	49.9794
6,498.05	90.2852	6,498.05	89.1129	6,498.05	84.935	6,498.05	79.8478	6,498.05	59.2445	6,498.05	54.1573	6,498.05	49.9794
6,726.56	90.2572	6,726.56	89.1229	6,726.56	84.8762	6,726.56	79.7252	6,726.56	59.377	6,726.56	54.226	6,726.56	49.9794
6,963.87	90.2928	6,963.87	89.0971	6,963.87	84.7583	6,963.87	79.5282	6,963.87	59.5483	6,963.87	54.3182	6,963.87	49.9794
7,209.96	90.1705	7,209.96	88.8766	7,209.96	84.5448	7,209.96	79.2772	7,209.96	59.5788	7,209.96	54.3112	7,209.96	49.9794
7,464.84	89.9856	7,464.84	88.7209	7,464.84	84.35	7,464.84	79.071	7,464.84	59.6293	7,464.84	54.3503	7,464.84	49.9794
7,728.52	89.8381	7,728.52	88.5833	7,728.52	84.2292	7,728.52	78.8947	7,728.52	59.668	7,728.52	54.3335	7,728.52	49.9794
8,000.98	90.0648	8,000.98	88.7697	8,000.98	84.3813	8,000.98	79.0015	8,000.98	59.7475	8,000.98	54.3678	8,000.98	49.9794
8,282.23	90.283	8,282.23	89.0291	8,282.23	84.5122	8,282.23	79.0859	8,282.23	59.9227	8,282.23	54.4963	8,282.23	49.9794
8,575.2	90.0413	8,575.2	88.8558	8,575.2	84.2751	8,575.2	78.8379	8,575.2	59.9973	8,575.2	54.5601	8,575.2	49.9794
8,876.95	89.6694	8,876.95	88.5039	8,876.95	83.8834	8,876.95	78.4629	8,876.95	60.0204	8,876.95	54.5999	8,876.95	49.9794
9,190.43	89.4982	9,190.43	88.2366	9,190.43	83.6001	9,190.43	78.2189	9,190.43	59.9971	9,190.43	54.6159	9,190.43	49.9794
9,512.7	89.4391	9,512.7	88.2287	9,512.7	83.5124	9,512.7	78.0941	9,512.7	60.114	9,512.7	54.6957	9,512.7	49.9794
9,849.61	89.7813	9,849.61	88.4578	9,849.61	83.716	9,849.61	78.2751	9,849.61	60.1621	9,849.61	54.7212	9,849.61	49.9794
