Freq[Hz]    GD[ms]  Phase[Deg]
6088.74      0.069    15.041
6177.30      0.068    12.175
6267.15      0.066     9.253
6358.31      0.065     6.391
6450.80      0.064     3.671
6544.62      0.064     1.219
6639.82      0.063    -0.948
6736.40      0.063    -2.831
6834.38      0.062    -4.385
6933.79      0.062    -5.752
7034.64      0.062    -6.979
7136.96      0.061    -8.157
7240.77      0.061    -9.579
7346.09      0.060   -11.347
7452.94      0.060   -13.506
7561.35      0.061   -16.052
7671.33      0.061   -18.840
7782.91      0.062   -21.731
7896.12      0.062   -24.607
8010.97      0.063   -27.427
8127.49      0.064   -30.191
8245.71      0.064   -33.012
8365.65      0.065   -36.004
8487.33      0.065   -39.074
8610.78      0.065   -42.228
8736.03      0.065   -45.460
8863.09      0.065   -48.709
8992.01      0.065   -51.939
9122.80      0.065   -55.160
9255.50      0.065   -58.458
9390.12      0.065   -61.861
9526.70      0.065   -65.242
9665.27      0.065   -68.493
9805.86      0.065   -71.475
9948.49      0.065   -74.087
10093.2      0.065   -76.434
10240.0      0.065   -78.836
10388.9      0.065   -81.651
10540.1      0.065   -85.109
10693.4      0.065   -89.203
10848.9      0.065   -93.701
11006.7      0.065   -98.244
11166.8      0.066  -102.471
11329.2      0.066  -106.139
11494.0      0.066  -109.366
11661.2      0.066  -112.577
11830.8      0.065  -116.239
12002.9      0.065  -120.713
12177.5      0.064  -125.990
12354.6      0.064  -131.731
12534.3      0.063  -137.432
12716.6      0.063  -142.573
12901.6      0.063  -146.863
13089.2      0.062  -150.335
13279.6      0.062  -153.262
13472.8      0.061  -156.189
13668.8      0.061  -159.570
13867.6      0.060  -163.488
14069.3      0.059  -167.779
14273.9      0.058  -172.198
14481.5      0.057  -176.524
14692.2      0.057   179.292
14905.9      0.057   175.096
15122.7      0.056   170.674
15342.7      0.056   165.916
15565.8      0.056   160.835
15792.2      0.055   155.534
16021.9      0.055   150.227
16255.0      0.055   145.169
16491.4      0.055   140.485
16731.3      0.056   136.316
16974.7      0.056   132.486
17221.6      0.056   128.702
17472.1      0.057   124.939
17726.2      0.056   121.069
17984.0      0.056   116.886
18245.6      0.056   111.948
18511.0      0.055   106.267
18780.2      0.055   100.097
