"CEA2034"													
"On Axis"		"Listening Window"		"Early Reflections"		"Sound Power"		"Sound Power DI"		"Early Reflections DI"		"DI offset"	
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
2,069.82	85.4926	2,069.82	85.9401	2,069.82	84.3178	2,069.82	81.7465	2,069.82	44.173	2,069.82	41.6017	2,069.82	39.9794
2,143.07	84.9473	2,143.07	85.4573	2,143.07	84.3899	2,143.07	82.0364	2,143.07	43.4003	2,143.07	41.0468	2,143.07	39.9794
2,219.24	85.8798	2,219.24	86.1349	2,219.24	84.646	2,219.24	82.1126	2,219.24	44.0017	2,219.24	41.4682	2,219.24	39.9794
2,296.88	84.8518	2,296.88	85.8707	2,296.88	84.6111	2,296.88	81.9886	2,296.88	43.8615	2,296.88	41.239	2,296.88	39.9794
2,378.91	84.7169	2,378.91	85.3699	2,378.91	84.3762	2,378.91	82.1589	2,378.91	43.1903	2,378.91	40.9731	2,378.91	39.9794
2,462.4	85.5295	2,462.4	86.1255	2,462.4	84.954	2,462.4	82.4241	2,462.4	43.6808	2,462.4	41.1509	2,462.4	39.9794
2,548.83	85.2276	2,548.83	85.7356	2,548.83	84.6019	2,548.83	82.1007	2,548.83	43.6144	2,548.83	41.1132	2,548.83	39.9794
2,639.65	86.1057	2,639.65	86.3294	2,639.65	84.9388	2,639.65	82.3517	2,639.65	43.9571	2,639.65	41.37	2,639.65	39.9794
2,731.93	86.9217	2,731.93	86.8848	2,731.93	85.1726	2,731.93	82.4817	2,731.93	44.3825	2,731.93	41.6916	2,731.93	39.9794
2,828.61	86.5897	2,828.61	86.5155	2,828.61	84.8318	2,828.61	81.9703	2,828.61	44.5246	2,828.61	41.663	2,828.61	39.9794
2,928.22	87.0987	2,928.22	86.9387	2,928.22	85.1407	2,928.22	81.9828	2,928.22	44.9353	2,928.22	41.7775	2,928.22	39.9794
3,030.76	87.0845	3,030.76	86.9551	3,030.76	85.1653	3,030.76	81.753	3,030.76	45.1816	3,030.76	41.7692	3,030.76	39.9794
3,137.7	86.9947	3,137.7	86.8329	3,137.7	84.9029	3,137.7	81.4255	3,137.7	45.3867	3,137.7	41.9094	3,137.7	39.9794
3,249.02	87.5039	3,249.02	87.0118	3,249.02	84.9263	3,249.02	81.1868	3,249.02	45.8045	3,249.02	42.0649	3,249.02	39.9794
3,363.28	87.7104	3,363.28	87.0843	3,363.28	84.8016	3,363.28	81.0533	3,363.28	46.0104	3,363.28	42.2622	3,363.28	39.9794
3,481.93	87.9392	3,481.93	87.1369	3,481.93	84.6958	3,481.93	81.0875	3,481.93	46.0288	3,481.93	42.4205	3,481.93	39.9794
3,604.98	88.1869	3,604.98	87.2025	3,604.98	84.5772	3,604.98	80.9996	3,604.98	46.1823	3,604.98	42.6047	3,604.98	39.9794
3,732.42	88.0754	3,732.42	86.9584	3,732.42	84.3497	3,732.42	80.8499	3,732.42	46.0879	3,732.42	42.5881	3,732.42	39.9794
3,864.26	88.4176	3,864.26	87.1157	3,864.26	84.3836	3,864.26	80.6524	3,864.26	46.4427	3,864.26	42.7115	3,864.26	39.9794
4,000.49	88.2067	4,000.49	86.7783	4,000.49	84.0541	4,000.49	80.0312	4,000.49	46.7265	4,000.49	42.7035	4,000.49	39.9794
4,141.11	88.584	4,141.11	86.9286	4,141.11	84.1279	4,141.11	79.8818	4,141.11	47.0263	4,141.11	42.7801	4,141.11	39.9794
