"Fundamental + Harmonic distortion components"					
"Woofer"		"Tweeter"		"Port"	
"Frequency [Hz]"	"dB - [V]  (rms)"	"Frequency [Hz]"	"dB - [V]  (rms)"	"Frequency [Hz]"	"dB - [V]  (rms)"
93.0176	103.213	573.12	92.8302	93.0176	104.478
93.3838	103.293	573.486	92.8388	93.3838	104.451
93.75	103.371	573.853	92.8473	93.75	104.423
94.1162	103.447	574.219	92.8556	94.1162	104.395
94.4824	103.558	574.585	92.8636	94.4824	104.352
94.8486	103.632	574.951	92.8712	94.8486	104.324
95.2148	103.704	575.317	92.8784	95.2148	104.295
95.5811	103.775	575.684	92.8852	95.5811	104.266
95.9473	103.808	576.05	92.8914	95.9473	104.251
96.3135	103.877	576.416	92.897	96.3135	104.222
96.6797	103.945	576.782	92.9015	96.6797	104.192
97.0459	104.012	577.148	92.9055	97.0459	104.162
97.4121	104.077	577.515	92.9089	97.4121	104.131
97.7783	104.141	577.881	92.9116	97.7783	104.1
98.1445	104.204	578.247	92.9138	98.1445	104.069
98.5107	104.265	578.613	92.9154	98.5107	104.038
98.877	104.325	578.979	92.9164	98.877	104.005
99.2432	104.384	579.346	92.9169	99.2432	103.973
99.6094	104.442	579.712	92.9168	99.6094	103.939
99.9756	104.498	580.078	92.9162	99.9756	103.905
100.342	104.552	580.444	92.9152	100.342	103.871
100.708	104.606	580.811	92.9136	100.708	103.835
101.074	104.657	581.177	92.9115	101.074	103.799
101.44	104.708	581.543	92.909	101.44	103.762
101.807	104.756	581.909	92.906	101.807	103.724
102.173	104.804	582.275	92.9025	102.173	103.684
102.539	104.849	582.642	92.8986	102.539	103.644
102.905	104.894	583.008	92.8941	102.905	103.603
103.271	104.936	583.374	92.8892	103.271	103.561
103.638	104.977	583.74	92.8838	103.638	103.517
104.004	105.017	584.106	92.8779	104.004	103.473
104.37	105.055	584.473	92.8715	104.37	103.427
104.736	105.092	584.839	92.8646	104.736	103.38
105.103	105.127	585.205	92.8572	105.103	103.332
105.469	105.161	585.571	92.8492	105.469	103.283
105.835	105.193	585.938	92.8408	105.835	103.233
106.201	105.224	586.304	92.8334	106.201	103.182
106.567	105.254	586.67	92.8245	106.567	103.13
106.934	105.283	587.036	92.8151	106.934	103.077
107.3	105.311	587.402	92.8052	107.3	103.023
