"CEA2034"
"On Axis"		"Listening Window"		"Early Reflections"		"Sound Power"		"Sound Power DI"		"Early Reflections DI"		"DI offset"
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
307.617	95.7487	307.617	95.6065	307.617	94.7102	307.617	93.5477	307.617	52.0382	307.617	50.8757	307.617	49.9794
319.336	95.7169	319.336	95.5324	319.336	94.4686	319.336	93.3197	319.336	52.1921	319.336	51.0431	319.336	49.9794
329.59	96.0195	329.59	95.9228	329.59	94.9665	329.59	93.6253	329.59	52.2769	329.59	50.9357	329.59	49.9794
341.309	96.7762	341.309	96.5935	341.309	95.462	341.309	94.134	341.309	52.4389	341.309	51.1109	341.309	49.9794
353.027	96.8556	353.027	96.7464	353.027	95.747	353.027	94.1287	353.027	52.5971	353.027	50.9788	353.027	49.9794
366.211	96.8556	366.211	96.7429	366.211	95.7499	366.211	94.0499	366.211	52.6723	366.211	50.9724	366.211	49.9794
379.395	96.9268	379.395	96.8026	379.395	95.8225	379.395	94.1482	379.395	52.6338	379.395	50.9596	379.395	49.9794
392.578	96.3498	392.578	96.2493	392.578	95.3778	392.578	93.7226	392.578	52.506	392.578	50.8509	392.578	49.9794
405.762	96.6935	405.762	96.4944	405.762	95.3053	405.762	93.5641	405.762	52.9097	405.762	51.1685	405.762	49.9794
420.41	96.3757	420.41	96.2359	420.41	95.2066	420.41	93.4821	420.41	52.7332	420.41	51.0088	420.41	49.9794
435.059	96.3733	435.059	96.2261	435.059	95.0982	435.059	93.4734	435.059	52.7321	435.059	51.1073	435.059	49.9794
451.172	96.5478	451.172	96.3956	451.172	95.3913	451.172	93.2465	451.172	53.1284	451.172	50.9837	451.172	49.9794
465.82	96.3524	465.82	96.1519	465.82	94.9423	465.82	92.9645	465.82	53.1668	465.82	51.1891	465.82	49.9794
483.398	96.215	483.398	96.0887	483.398	95.0367	483.398	92.9991	483.398	53.069	483.398	51.0314	483.398	49.9794
499.512	96.2812	499.512	96.1388	499.512	94.9838	499.512	93.0113	499.512	53.1069	499.512	51.1343	499.512	49.9794
517.09	95.5979	517.09	95.4543	517.09	94.4613	517.09	92.661	517.09	52.7727	517.09	50.9724	517.09	49.9794
536.133	96.1633	536.133	95.9079	536.133	94.4567	536.133	92.1931	536.133	53.6941	536.133	51.4306	536.133	49.9794
555.176	96.0615	555.176	95.8871	555.176	94.6062	555.176	92.0765	555.176	53.79	555.176	51.2603	555.176	49.9794
574.219	95.681	574.219	95.5675	574.219	94.7111	574.219	92.2774	574.219	53.2695	574.219	50.8358	574.219	49.9794
594.727	95.4453	594.727	95.2017	594.727	94.1516	594.727	91.8649	594.727	53.3162	594.727	51.0296	594.727	49.9794
615.234	95.7552	615.234	95.5576	615.234	94.4818	615.234	92.0584	615.234	53.4787	615.234	51.0553	615.234	49.9794
637.207	96.5509	637.207	96.0798	637.207	94.9231	637.207	92.5368	637.207	53.5224	637.207	51.1362	637.207	49.9794
659.18	96.8039	659.18	96.4484	659.18	94.9481	659.18	92.3648	659.18	54.063	659.18	51.4796	659.18	49.9794
682.617	97.4493	682.617	96.9587	682.617	95.3071	682.617	92.8855	682.617	54.0527	682.617	51.6311	682.617	49.9794
707.52	97.9924	707.52	97.4983	707.52	95.6705	707.52	92.9606	707.52	54.517	707.52	51.8071	707.52	49.9794
732.422	97.5162	732.422	97.1894	732.422	95.3906	732.422	92.7186	732.422	54.4502	732.422	51.7782	732.422	49.9794
757.324	98.0726	757.324	97.6999	757.324	95.7825	757.324	93.2045	757.324	54.4748	757.324	51.8968	757.324	49.9794
785.156	98.7173	785.156	98.1494	785.156	95.8983	785.156	93.1489	785.156	54.9798	785.156	52.2305	785.156	49.9794
811.523	98.7717	811.523	98.47	811.523	96.1719	811.523	93.4608	811.523	54.9886	811.523	52.2775	811.523	49.9794
840.82	99.0033	840.82	98.665	840.82	96.3327	840.82	93.6025	840.82	55.0419	840.82	52.3117	840.82	49.9794
870.117	99.3263	870.117	98.9063	870.117	96.3298	870.117	93.4816	870.117	55.4041	870.117	52.5558	870.117	49.9794
900.879	99.0015	900.879	98.937	900.879	96.6703	900.879	93.8449	900.879	55.0715	900.879	52.246	900.879	49.9794
933.105	99.2811	933.105	98.8128	933.105	96.4185	933.105	93.4695	933.105	55.3227	933.105	52.3737	933.105	49.9794
965.332	98.9414	965.332	98.6004	965.332	96.3367	965.332	93.3038	965.332	55.276	965.332	52.2431	965.332	49.9794
1,000.49	98.6298	1,000.49	98.1735	1,000.49	95.8504	1,000.49	92.8449	1,000.49	55.308	1,000.49	52.3025	1,000.49	49.9794
1,035.64	98.1913	1,035.64	97.7147	1,035.64	95.3626	1,035.64	92.3693	1,035.64	55.3249	1,035.64	52.3316	1,035.64	49.9794
1,072.27	97.7616	1,072.27	97.3785	1,072.27	94.8893	1,072.27	91.8869	1,072.27	55.4711	1,072.27	52.4686	1,072.27	49.9794
1,108.89	97.2994	1,108.89	96.7622	1,108.89	94.5654	1,108.89	91.6531	1,108.89	55.0884	1,108.89	52.1761	1,108.89	49.9794
1,148.44	96.4948	1,148.44	96.2052	1,148.44	93.868	1,148.44	90.9056	1,148.44	55.2789	1,148.44	52.3166	1,148.44	49.9794
1,189.45	95.9737	1,189.45	95.4026	1,189.45	92.8996	1,189.45	89.769	1,189.45	55.613	1,189.45	52.4823	1,189.45	49.9794
1,230.47	95.8908	1,230.47	95.1709	1,230.47	92.4702	1,230.47	89.2312	1,230.47	55.9191	1,230.47	52.68	1,230.47	49.9794
1,274.41	95.9745	1,274.41	95.2357	1,274.41	92.3308	1,274.41	88.8593	1,274.41	56.3559	1,274.41	52.8843	1,274.41	49.9794
1,319.82	96.3726	1,319.82	95.6377	1,319.82	92.5967	1,319.82	88.9359	1,319.82	56.6812	1,319.82	53.0204	1,319.82	49.9794
1,366.7	95.7645	1,366.7	95.2568	1,366.7	92.4628	1,366.7	88.9817	1,366.7	56.2546	1,366.7	52.7735	1,366.7	49.9794
1,413.57	95.5218	1,413.57	95.0731	1,413.57	92.3875	1,413.57	88.926	1,413.57	56.1265	1,413.57	52.665	1,413.57	49.9794
1,463.38	95.2302	1,463.38	94.6339	1,463.38	91.8672	1,463.38	88.4742	1,463.38	56.1391	1,463.38	52.746	1,463.38	49.9794
1,516.11	94.4777	1,516.11	94.0372	1,516.11	91.2636	1,516.11	87.6865	1,516.11	56.3301	1,516.11	52.7531	1,516.11	49.9794
1,568.85	94.4013	1,568.85	93.5165	1,568.85	90.6554	1,568.85	87.0615	1,568.85	56.4344	1,568.85	52.8405	1,568.85	49.9794
1,624.51	95.0322	1,624.51	94.4412	1,624.51	91.3548	1,624.51	87.5557	1,624.51	56.8649	1,624.51	53.0658	1,624.51	49.9794
1,681.64	96.0825	1,681.64	95.5264	1,681.64	92.3745	1,681.64	88.328	1,681.64	57.1778	1,681.64	53.1313	1,681.64	49.9794
1,741.7	96.1157	1,741.7	95.475	1,741.7	92.2042	1,741.7	88.0394	1,741.7	57.415	1,741.7	53.2502	1,741.7	49.9794
1,803.22	96.1035	1,803.22	95.2042	1,803.22	91.8129	1,803.22	87.6558	1,803.22	57.5278	1,803.22	53.3707	1,803.22	49.9794
1,866.21	95.4478	1,866.21	94.5815	1,866.21	91.3143	1,866.21	87.2779	1,866.21	57.283	1,866.21	53.2466	1,866.21	49.9794
1,932.13	95.2978	1,932.13	94.2618	1,932.13	91.0772	1,932.13	87.2017	1,932.13	57.0395	1,932.13	53.164	1,932.13	49.9794
