* Measurement data measured by REW V5.19
* Source: Fireface UFX+ (24006088), Fireface UFX+ (24006088), 15, volume: no control. Timing signal peak level -15.8 dBFS, measurement signal peak level -13.3 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS  Using an acoustic timing reference
* Dated: Mar 16, 2021 5:26:45 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.289±0.010 ms (-99 mm, -3.90 in) using estimated IR delay relative to Acoustic reference on  L
* Measurement: L
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
127.075, 66.258, -112.419
127.441, 66.470, -114.303
127.808, 66.646, -116.412
128.174, 66.773, -118.670
128.540, 66.841, -120.952
128.906, 66.850, -123.112
129.272, 66.811, -125.022
129.639, 66.737, -126.599
130.005, 66.642, -127.791
130.371, 66.536, -128.544
130.737, 66.438, -128.773
131.104, 66.379, -128.416
131.470, 66.404, -127.541
131.836, 66.547, -126.405
132.202, 66.817, -125.367
132.568, 67.189, -124.700
132.935, 67.636, -124.504
133.301, 68.146, -124.809
133.667, 68.717, -125.739
134.033, 69.333, -127.535
134.399, 69.944, -130.410
134.766, 70.479, -134.365
135.132, 70.871, -139.134
135.498, 71.081, -144.247
135.864, 71.110, -149.147
136.230, 71.004, -153.342
136.597, 70.846, -156.576
136.963, 70.728, -158.991
137.329, 70.703, -161.092
137.695, 70.753, -163.445
138.062, 70.813, -166.326
138.428, 70.816, -169.629
138.794, 70.730, -173.020
139.160, 70.566, -176.164
139.526, 70.359, -178.890
139.893, 70.145, 178.761
140.259, 69.939, 176.623
140.625, 69.730, 174.563
140.991, 69.497, 172.593
141.357, 69.232, 170.848
141.724, 68.948, 169.473
142.090, 68.671, 168.507
142.456, 68.423, 167.855
142.822, 68.208, 167.371
143.188, 68.015, 166.977
143.555, 67.831, 166.715
143.921, 67.663, 166.679
144.287, 67.532, 166.899
144.653, 67.462, 167.258
145.020, 67.458, 167.543
145.386, 67.500, 167.577
145.752, 67.558, 167.322
146.118, 67.613, 166.875
146.484, 67.661, 166.372
146.851, 67.717, 165.876
147.217, 67.795, 165.342
147.583, 67.896, 164.665
147.949, 68.006, 163.773
148.315, 68.112, 162.684
148.682, 68.206, 161.477
149.048, 68.295, 160.209
149.414, 68.391, 158.851
149.780, 68.496, 157.291
150.146, 68.594, 155.418
150.513, 68.654, 153.221
150.879, 68.651, 150.824
151.245, 68.573, 148.446
151.611, 68.432, 146.310
151.978, 68.256, 144.550
152.344, 68.075, 143.159
152.710, 67.910, 142.016
153.076, 67.760, 140.987
153.442, 67.616, 140.014
153.809, 67.471, 139.127
154.175, 67.330, 138.383
154.541, 67.206, 137.776
154.907, 67.110, 137.208
155.273, 67.036, 136.541
155.640, 66.965, 135.693
156.006, 66.872, 134.700
156.372, 66.744, 133.692
156.738, 66.582, 132.827
157.104, 66.401, 132.210
157.471, 66.221, 131.858
157.837, 66.054, 131.718
158.203, 65.906, 131.722
158.569, 65.775, 131.829
158.936, 65.660, 132.028
159.302, 65.564, 132.306
159.668, 65.488, 132.626
160.034, 65.427, 132.951
160.400, 65.375, 133.282
160.767, 65.326, 133.679
161.133, 65.288, 134.225
161.499, 65.280, 134.945
161.865, 65.322, 135.747
162.231, 65.419, 136.445
162.598, 65.556, 136.871
162.964, 65.703, 136.980
163.330, 65.837, 136.862
163.696, 65.954, 136.670
164.062, 66.064, 136.504
164.429, 66.185, 136.358
164.795, 66.325, 136.141
165.161, 66.475, 135.766
165.527, 66.621, 135.223
165.894, 66.755, 134.577
166.260, 66.878, 133.898
166.626, 67.000, 133.196
166.992, 67.124, 132.414
167.358, 67.242, 131.493
167.725, 67.340, 130.449
168.091, 67.405, 129.394
168.457, 67.445, 128.477
168.823, 67.483, 127.781
169.189, 67.547, 127.245
169.556, 67.653, 126.677
169.922, 67.788, 125.869
170.288, 67.923, 124.721
170.654, 68.027, 123.289
171.021, 68.083, 121.738
171.387, 68.092, 120.247
171.753, 68.070, 118.938
172.119, 68.037, 117.844
172.485, 68.009, 116.925
172.852, 67.991, 116.120
173.218, 67.985, 115.382
173.584, 67.991, 114.684
173.950, 68.008, 114.007
174.316, 68.039, 113.325
174.683, 68.080, 112.596
175.049, 68.128, 111.784
175.415, 68.172, 110.870
175.781, 68.202, 109.878
176.147, 68.207, 108.875
176.514, 68.187, 107.970
176.880, 68.148, 107.284
177.246, 68.111, 106.894
177.612, 68.103, 106.783
177.979, 68.146, 106.816
178.345, 68.243, 106.787
178.711, 68.380, 106.522
179.077, 68.528, 105.963
179.443, 68.665, 105.174
179.810, 68.782, 104.280
180.176, 68.887, 103.381
180.542, 68.993, 102.496
180.908, 69.109, 101.568
181.274, 69.232, 100.517
181.641, 69.353, 99.295
182.007, 69.459, 97.917
182.373, 69.542, 96.436
182.739, 69.600, 94.915
183.105, 69.633, 93.401
183.472, 69.644, 91.940
183.838, 69.632, 90.592
184.204, 69.607, 89.434
184.570, 69.584, 88.529
184.937, 69.590, 87.859
185.303, 69.645, 87.294
185.669, 69.756, 86.615
186.035, 69.906, 85.620
186.401, 70.064, 84.216
186.768, 70.198, 82.453
187.134, 70.290, 80.473
187.500, 70.339, 78.434
187.866, 70.353, 76.444
188.232, 70.346, 74.536
188.599, 70.327, 72.689
188.965, 70.297, 70.876
189.331, 70.253, 69.095
189.697, 70.195, 67.368
