* Measurement data measured by REW V5.20 Beta 53
* Source: C:\Users\Napie\Music\REW\Top Speakers\New Folder\13-SP.txt
* Format: Comma/Tab/Space delimited data
* Dated: May 26, 2020 3:31:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\Napie\Music\REW\Top Speakers\New Folder\13-SP.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: 13-SP
* Smoothing: None
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
206.001556	86.275818	33.8512
207.494324	86.280968	33.3663
208.997925	86.337883	32.6510
210.512405	86.364014	31.8987
212.037857	86.245514	31.2599
213.574371	86.116272	30.7331
215.122025	86.100487	30.4340
216.680893	86.115936	30.1619
218.251053	86.115997	29.7279
219.832581	86.115997	29.2086
221.425583	86.122238	28.6037
223.030121	86.116043	27.9576
224.646286	86.073578	27.2977
226.274170	86.016159	26.6765
227.913849	85.952652	26.1840
229.565399	85.897125	25.7351
231.228928	85.876350	25.2855
232.904510	85.861053	24.8015
234.592224	85.835846	24.1777
236.292191	85.785179	23.5834
238.004456	85.661079	23.1901
239.729126	85.545258	22.8887
241.466309	85.534813	22.6398
243.216080	85.537018	22.4037
244.978516	85.467705	22.1089
246.753738	85.396187	21.8118
248.541809	85.380402	21.5640
250.342850	85.372032	21.3107
252.156937	85.334244	20.9886
253.984161	85.289124	20.6738
255.824646	85.242928	20.4463
257.678467	85.207069	20.2335
259.545685	85.201874	20.0073
261.426483	85.206985	19.7129
263.320862	85.217369	19.2455
265.229004	85.207077	18.7264
267.150970	85.134560	18.2205
269.086853	85.041275	17.7950
271.036774	84.953560	17.5681
273.000824	84.876198	17.4521
274.979095	84.824310	17.4209
276.971710	84.793053	17.4061
278.978760	84.787804	17.3353
281.000336	84.792984	17.1955
283.036591	84.798119	16.9288
285.087585	84.793037	16.5980
287.153442	84.762497	16.2140
289.234283	84.711166	15.8748
291.330200	84.623116	15.7133
293.441284	84.545174	15.6371
295.567688	84.534615	15.6252
297.709503	84.544960	15.5942
299.866821	84.544998	15.4418
302.039795	84.544998	15.2029
304.228485	84.555298	14.8424
306.433044	84.545082	14.4680
308.653595	84.464622	14.1847
310.890228	84.380203	13.9666
313.143066	84.357964	13.8535
315.412231	84.350021	13.7523
317.697845	84.327377	13.5544
320.000000	84.298096	13.3446
322.318848	84.253380	13.1967
324.654510	84.215088	13.0366
327.007080	84.220100	12.7921
329.376709	84.215057	12.5288
331.763519	84.138702	12.2732
334.167603	84.050262	12.0715
336.589142	83.996826	12.0132
339.028198	83.955116	11.9960
341.484924	83.920601	11.9301
343.959473	83.883118	11.8661
346.451935	83.826607	11.8154
348.962463	83.764168	11.8099
351.491211	83.702919	11.8893
354.038239	83.645157	12.0425
356.603760	83.592201	12.2875
359.187866	83.554085	12.5760
361.790680	83.548309	12.8633
364.412354	83.553986	13.1572
367.053040	83.545448	13.4661
369.712860	83.553932	13.7442
372.391968	83.615349	13.9610
375.090454	83.690796	14.0778
377.808533	83.749771	14.0277
380.546265	83.801865	13.8656
383.303864	83.849815	13.6143
386.081451	83.883926	13.3049
388.879150	83.891312	12.9661
391.697144	83.884048	12.6290
394.535522	83.869492	12.3380
397.394501	83.849068	12.0827
400.274170	83.823380	11.8901
403.174744	83.802055	11.6927
406.096313	83.813301	11.3839
409.039062	83.802101	11.1057
412.003113	83.689644	10.9718
414.988647	83.574310	10.9637
417.995850	83.549759	11.1531
421.024811	83.553970	11.3833
424.075714	83.552750	11.4971
427.148743	83.553993	11.5668
430.244049	83.554001	11.6131
