"Early Reflections"											
"Floor Bounce"		"Ceiling Bounce"		"Front Wall Bounce"		"Side Wall Bounce"		"Rear Wall Bounce"		"Total Early Reflection"	
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
811.523	108.552	811.523	107.342	811.523	110.053	811.523	106.115	811.523	102.398	811.523	107.745
840.82	108.653	840.82	107.776	840.82	110.376	840.82	106.339	840.82	101.62	840.82	107.991
870.117	108.835	870.117	106.983	870.117	110.377	870.117	106.525	870.117	100.613	870.117	107.963
900.879	109.543	900.879	107.774	900.879	110.797	900.879	106.665	900.879	100.352	900.879	108.372
933.105	109.47	933.105	106.776	933.105	110.719	933.105	106.514	933.105	100.035	933.105	108.187
965.332	109.833	965.332	107.259	965.332	110.695	965.332	106.288	965.332	99.4165	965.332	108.209
1,000.49	110.5	1,000.49	106.632	1,000.49	110.647	1,000.49	106.244	1,000.49	99.4189	1,000.49	108.242
1,035.64	110.373	1,035.64	106.227	1,035.64	110.552	1,035.64	106.117	1,035.64	98.6912	1,035.64	108.1
1,072.27	110.43	1,072.27	105.073	1,072.27	110.078	1,072.27	105.417	1,072.27	98.6754	1,072.27	107.642
1,108.89	110.026	1,108.89	104.74	1,108.89	110.477	1,108.89	105.75	1,108.89	98.1075	1,108.89	107.803
1,148.44	110.241	1,148.44	104.475	1,148.44	110.566	1,148.44	105.656	1,148.44	99.9448	1,148.44	107.881
1,189.45	109.151	1,189.45	103.254	1,189.45	110.405	1,189.45	104.711	1,189.45	100.442	1,189.45	107.336
1,230.47	108.787	1,230.47	100.828	1,230.47	109.929	1,230.47	105.226	1,230.47	100.454	1,230.47	107.05
1,274.41	108.317	1,274.41	99.8675	1,274.41	109.189	1,274.41	104.428	1,274.41	97.5336	1,274.41	106.295
1,319.82	107.293	1,319.82	97.8511	1,319.82	109.108	1,319.82	103.973	1,319.82	98.3095	1,319.82	105.933
1,366.7	106.84	1,366.7	97.7449	1,366.7	109.055	1,366.7	104.175	1,366.7	98.5554	1,366.7	105.889
1,413.57	105.938	1,413.57	99.6704	1,413.57	108.771	1,413.57	103.476	1,413.57	97.3151	1,413.57	105.449
1,463.38	104.962	1,463.38	99.5146	1,463.38	109.875	1,463.38	104.598	1,463.38	97.7794	1,463.38	106.293
1,516.11	105.359	1,516.11	100.303	1,516.11	110.568	1,516.11	105.445	1,516.11	99.5525	1,516.11	107.024
1,568.85	105.705	1,568.85	102.19	1,568.85	111.423	1,568.85	106.643	1,568.85	99.8698	1,568.85	107.955
1,624.51	106.109	1,624.51	104.099	1,624.51	111.458	1,624.51	106.329	1,624.51	100.276	1,624.51	107.999
1,681.64	106.854	1,681.64	100.263	1,681.64	111.32	1,681.64	105.414	1,681.64	97.5836	1,681.64	107.585
1,741.7	105.741	1,741.7	104.169	1,741.7	110.609	1,741.7	105.436	1,741.7	99.33	1,741.7	107.223
1,803.22	105.573	1,803.22	104.743	1,803.22	110.737	1,803.22	105.224	1,803.22	97.0603	1,803.22	107.234
1,866.21	106.604	1,866.21	104.624	1,866.21	111.321	1,866.21	105.767	1,866.21	99.1119	1,866.21	107.823
1,932.13	105.972	1,932.13	103.254	1,932.13	111.621	1,932.13	105.755	1,932.13	97.7701	1,932.13	107.872
1,999.51	105.632	1,999.51	105.593	1,999.51	111.236	1,999.51	106.568	1,999.51	98.4512	1,999.51	107.955
2,069.82	105.154	2,069.82	106.728	2,069.82	110.601	2,069.82	106.003	2,069.82	97.5205	2,069.82	107.49
2,143.07	106.285	2,143.07	106.891	2,143.07	110.026	2,143.07	105.644	2,143.07	97.5596	2,143.07	107.193
2,219.24	107.429	2,219.24	107.528	2,219.24	110.392	2,219.24	106.294	2,219.24	99.3479	2,219.24	107.764
2,296.88	107.734	2,296.88	105.757	2,296.88	110.871	2,296.88	106.138	2,296.88	98.3034	2,296.88	107.83
2,378.91	108.298	2,378.91	106.535	2,378.91	109.809	2,378.91	105.799	2,378.91	99.5801	2,378.91	107.358
2,462.4	107.688	2,462.4	105.36	2,462.4	109.466	2,462.4	104.917	2,462.4	97.4642	2,462.4	106.732
2,548.83	106.918	2,548.83	105.336	2,548.83	111.101	2,548.83	105.945	2,548.83	97.3161	2,548.83	107.786
2,639.65	106.428	2,639.65	104.305	2,639.65	111.562	2,639.65	106.146	2,639.65	97.9714	2,639.65	108.015
2,731.93	106.514	2,731.93	103.903	2,731.93	110.607	2,731.93	105.246	2,731.93	97.1975	2,731.93	107.197
2,828.61	106.412	2,828.61	103.576	2,828.61	109.7	2,828.61	104.538	2,828.61	96.347	2,828.61	106.458
2,928.22	106.164	2,928.22	103.521	2,928.22	110.065	2,928.22	104.965	2,928.22	96.9329	2,928.22	106.752
3,030.76	105.787	3,030.76	104.328	3,030.76	110.572	3,030.76	105.771	3,030.76	97.514	3,030.76	107.275
3,137.7	106.266	3,137.7	104.097	3,137.7	110.643	3,137.7	106.07	3,137.7	97.7571	3,137.7	107.428
3,249.02	106.938	3,249.02	103.653	3,249.02	110.581	3,249.02	106.23	3,249.02	98.1116	3,249.02	107.485
3,363.28	107.68	3,363.28	103.316	3,363.28	110.773	3,363.28	106.098	3,363.28	97.7647	3,363.28	107.616
3,481.93	108.12	3,481.93	103.459	3,481.93	110.887	3,481.93	106.389	3,481.93	97.305	3,481.93	107.813
3,604.98	108.208	3,604.98	103.695	3,604.98	111.143	3,604.98	106.95	3,604.98	97.9791	3,604.98	108.139
3,732.42	107.46	3,732.42	104.038	3,732.42	111.096	3,732.42	107.229	3,732.42	98.3024	3,732.42	108.136
3,864.26	107.863	3,864.26	103.639	3,864.26	109.795	3,864.26	106.412	3,864.26	98.0586	3,864.26	107.241
4,000.49	108.349	4,000.49	103.902	4,000.49	110.665	4,000.49	106.511	4,000.49	97.3632	4,000.49	107.778
4,141.11	108.142	4,141.11	103.455	4,141.11	110.843	4,141.11	106.789	4,141.11	97.8383	4,141.11	107.912
4,287.6	108.641	4,287.6	103.006	4,287.6	110.363	4,287.6	106.121	4,287.6	97.5418	4,287.6	107.514
4,438.48	108.838	4,438.48	102.915	4,438.48	110.583	4,438.48	106.311	4,438.48	97.0463	4,438.48	107.702
4,595.21	108.859	4,595.21	102.986	4,595.21	110.862	4,595.21	106.77	4,595.21	97.8104	4,595.21	107.992
4,756.35	108.283	4,756.35	102.315	4,756.35	110.785	4,756.35	106.567	4,756.35	96.7245	4,756.35	107.78
4,924.8	107.928	4,924.8	102.336	4,924.8	109.863	4,924.8	106.079	4,924.8	96.8092	4,924.8	107.107
5,097.66	107.481	5,097.66	102.952	5,097.66	110.87	5,097.66	106.708	5,097.66	96.1483	5,097.66	107.791
5,277.83	107.006	5,277.83	102.672	5,277.83	110.007	5,277.83	106.317	5,277.83	97.2219	5,277.83	107.158
5,463.87	107.247	5,463.87	102.558	5,463.87	110.37	5,463.87	106.251	5,463.87	95.8924	5,463.87	107.339
5,657.23	106.516	5,657.23	102.781	5,657.23	110.488	5,657.23	106.771	5,657.23	96.7378	5,657.23	107.506
5,856.45	106.484	5,856.45	102.489	5,856.45	110.861	5,856.45	106.828	5,856.45	96.1454	5,856.45	107.71
6,062.99	107.06	6,062.99	101.932	6,062.99	110.796	6,062.99	106.976	6,062.99	97.2065	6,062.99	107.765
6,276.86	106.222	6,276.86	101.616	6,276.86	110.958	6,276.86	106.991	6,276.86	96.0636	6,276.86	107.766
6,498.05	105.706	6,498.05	101.555	6,498.05	110.718	6,498.05	106.457	6,498.05	95.3282	6,498.05	107.412
6,726.56	105.623	6,726.56	101.051	6,726.56	111.033	6,726.56	106.85	6,726.56	95.2699	6,726.56	107.697
6,963.87	105.682	6,963.87	100.967	6,963.87	110.506	6,963.87	106.022	6,963.87	94.7384	6,963.87	107.134
7,209.96	105.807	7,209.96	101.034	7,209.96	110.771	7,209.96	106.466	7,209.96	94.3481	7,209.96	107.433
7,464.84	105.947	7,464.84	100.649	7,464.84	110.25	7,464.84	105.77	7,464.84	93.8869	7,464.84	106.92
7,727.05	106.366	7,727.05	100.643	7,727.05	110.605	7,727.05	105.837	7,727.05	94.4146	7,727.05	107.189
7,999.51	105.616	7,999.51	100.76	7,999.51	110.406	7,999.51	105.477	7,999.51	93.4225	7,999.51	106.899
8,282.23	105.614	8,282.23	100.905	8,282.23	110.577	8,282.23	105.768	8,282.23	93.4295	8,282.23	107.088
8,573.73	105.776	8,573.73	100.912	8,573.73	110.727	8,573.73	105.656	8,573.73	93.5732	8,573.73	107.162
8,876.95	105.436	8,876.95	101.098	8,876.95	110.572	8,876.95	105.193	8,876.95	92.6675	8,876.95	106.916
9,188.96	105.892	9,188.96	101.158	9,188.96	110.99	9,188.96	105.578	9,188.96	92.6647	9,188.96	107.316
9,514.16	106.22	9,514.16	101.798	9,514.16	110.743	9,514.16	105.209	9,514.16	92.5791	9,514.16	107.118
9,849.61	105.762	9,849.61	102.24	9,849.61	110.537	9,849.61	105.146	9,849.61	91.0777	9,849.61	106.944
10,196.8	106.427	10,196.8	102.626	10,196.8	110.008	10,196.8	104.981	10,196.8	91.4971	10,196.8	106.667
10,555.7	106.663	10,555.7	102.802	10,555.7	109.326	10,555.7	104.488	10,555.7	91.7824	10,555.7	106.19
10,927.7	107.481	10,927.7	102.965	10,927.7	108.98	10,927.7	104.403	10,927.7	91.424	10,927.7	106.106
11,313	107.758	11,313	103.379	11,313	108.792	11,313	104.35	11,313	91.2048	11,313	106.065
11,712.9	108.387	11,712.9	103.766	11,712.9	108.816	11,712.9	104.317	11,712.9	90.642	11,712.9	106.204
12,126	108.099	12,126	104.255	12,126	108.725	12,126	104.161	12,126	90.4901	12,126	106.101
12,553.7	108.879	12,553.7	104.722	12,553.7	108.575	12,553.7	104.134	12,553.7	89.7782	12,553.7	106.212
12,996.1	109.321	12,996.1	104.889	12,996.1	108.537	12,996.1	103.991	12,996.1	89.2384	12,996.1	106.272
13,454.6	110.18	13,454.6	104.869	13,454.6	108.72	13,454.6	103.739	13,454.6	88.9173	13,454.6	106.513
13,929.2	110.699	13,929.2	104.857	13,929.2	109.121	13,929.2	103.55	13,929.2	88.8348	13,929.2	106.801
14,419.9	111.358	14,419.9	104.786	14,419.9	109.96	14,419.9	103.562	14,419.9	88.8119	14,419.9	107.384
14,928.2	111.524	14,928.2	104.197	14,928.2	111.075	14,928.2	103.559	14,928.2	88.2806	14,928.2	107.974
15,455.6	110.946	15,455.6	103.251	15,455.6	112.076	15,455.6	103.101	15,455.6	88.0053	15,455.6	108.334
16,000.5	109.982	16,000.5	101.98	16,000.5	112.43	16,000.5	101.8	16,000.5	86.5945	16,000.5	108.215
16,564.5	108.725	16,564.5	100.376	16,564.5	112.36	16,564.5	99.5449	16,564.5	84.0715	16,564.5	107.761
17,148.9	106.96	17,148.9	98.6561	17,148.9	111.722	17,148.9	97.1159	17,148.9	81.7365	17,148.9	106.866
17,752.4	104.911	17,752.4	97.0118	17,752.4	110.839	17,752.4	95.0999	17,752.4	80.4184	17,752.4	105.806
18,379.4	102.711	18,379.4	95.3753	18,379.4	109.887	18,379.4	94.114	18,379.4	79.4528	18,379.4	104.74
19,026.9	101.488	19,026.9	93.8194	19,026.9	109.095	19,026.9	93.3963	19,026.9	78.1258	19,026.9	103.912
19,697.8	101.043	19,697.8	91.3015	19,697.8	108.401	19,697.8	92.7588	19,697.8	77.3301	19,697.8	103.219
19,999.5	100.726	19,999.5	90.8112	19,999.5	108.085	19,999.5	92.5194	19,999.5	75.4741	19,999.5	102.904
