"CEA2034"
"On Axis"		"Listening Window"		"Early Reflections"		"Sound Power"		"Sound Power DI"		"Early Reflections DI"		"DI offset"
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
1,801.76	84.1454	1,801.76	83.5929	1,801.76	81.2223	1,801.76	77.9331	1,801.76	45.6392	1,801.76	42.35	1,801.76	39.9794
1,866.21	83.5469	1,866.21	83.1132	1,866.21	80.95	1,866.21	77.7424	1,866.21	45.3502	1,866.21	42.1425	1,866.21	39.9794
1,930.66	83.3168	1,930.66	82.7594	1,930.66	80.6678	1,930.66	77.3888	1,930.66	45.3501	1,930.66	42.0711	1,930.66	39.9794
2,000.98	83.0664	2,000.98	82.9123	2,000.98	81.0157	2,000.98	77.5647	2,000.98	45.3269	2,000.98	41.876	2,000.98	39.9794
2,071.29	84.3658	2,071.29	84.0038	2,071.29	81.8307	2,071.29	78.1106	2,071.29	45.8726	2,071.29	42.1525	2,071.29	39.9794
2,144.53	83.8125	2,144.53	83.598	2,144.53	81.3265	2,144.53	77.6498	2,144.53	45.9277	2,144.53	42.2509	2,144.53	39.9794
2,217.77	82.9529	2,217.77	82.7787	2,217.77	80.4286	2,217.77	76.8892	2,217.77	45.8689	2,217.77	42.3295	2,217.77	39.9794
2,296.88	83.4116	2,296.88	83.2985	2,296.88	81.0615	2,296.88	77.1971	2,296.88	46.0808	2,296.88	42.2164	2,296.88	39.9794
2,378.91	84.1289	2,378.91	83.8924	2,378.91	81.4272	2,378.91	77.4011	2,378.91	46.4708	2,378.91	42.4446	2,378.91	39.9794
2,460.94	83.4762	2,460.94	83.2222	2,460.94	80.6422	2,460.94	76.6264	2,460.94	46.5752	2,460.94	42.5594	2,460.94	39.9794
2,548.83	83.0363	2,548.83	82.6527	2,548.83	80.0104	2,548.83	75.9952	2,548.83	46.6369	2,548.83	42.6217	2,548.83	39.9794
2,639.65	83.4448	2,639.65	82.9555	2,639.65	79.994	2,639.65	75.769	2,639.65	47.1658	2,639.65	42.9409	2,639.65	39.9794
2,733.4	83.2122	2,733.4	82.777	2,733.4	79.7071	2,733.4	75.2922	2,733.4	47.4642	2,733.4	43.0493	2,733.4	39.9794
2,827.15	82.8285	2,827.15	82.5079	2,827.15	79.381	2,827.15	74.9686	2,827.15	47.5187	2,827.15	43.1063	2,827.15	39.9794
2,926.76	82.3985	2,926.76	82.1258	2,926.76	78.9673	2,926.76	74.5858	2,926.76	47.5194	2,926.76	43.1379	2,926.76	39.9794
3,032.23	82.0262	3,032.23	81.6369	3,032.23	78.3874	3,032.23	74.0567	3,032.23	47.5595	3,032.23	43.2289	3,032.23	39.9794
3,137.7	82.2205	3,137.7	81.8601	3,137.7	78.6329	3,137.7	74.328	3,137.7	47.5115	3,137.7	43.2066	3,137.7	39.9794
3,249.02	82.1871	3,249.02	81.8205	3,249.02	78.5738	3,249.02	74.4753	3,249.02	47.3246	3,249.02	43.2261	3,249.02	39.9794
3,363.28	82.0477	3,363.28	81.7701	3,363.28	78.5119	3,363.28	74.6444	3,363.28	47.1052	3,363.28	43.2376	3,363.28	39.9794
3,483.4	82.7254	3,483.4	82.2134	3,483.4	78.9936	3,483.4	75.1026	3,483.4	47.0902	3,483.4	43.1992	3,483.4	39.9794
3,606.45	83.0404	3,606.45	82.6675	3,606.45	79.506	3,606.45	75.5065	3,606.45	47.1403	3,606.45	43.1409	3,606.45	39.9794
3,732.42	82.4683	3,732.42	82.2342	3,732.42	79.2598	3,732.42	75.3374	3,732.42	46.8762	3,732.42	42.9538	3,732.42	39.9794
3,864.26	83.122	3,864.26	82.6213	3,864.26	79.6166	3,864.26	75.4924	3,864.26	47.1084	3,864.26	42.9841	3,864.26	39.9794
3,999.02	82.9752	3,999.02	82.593	3,999.02	79.636	3,999.02	75.5868	3,999.02	46.9856	3,999.02	42.9364	3,999.02	39.9794
4,139.65	82.4941	4,139.65	82.3948	4,139.65	79.6539	4,139.65	75.7375	4,139.65	46.6367	4,139.65	42.7203	4,139.65	39.9794
4,286.13	82.8036	4,286.13	82.4323	4,286.13	79.7914	4,286.13	75.7741	4,286.13	46.6376	4,286.13	42.6203	4,286.13	39.9794
4,438.48	82.8271	4,438.48	82.2036	4,438.48	79.6719	4,438.48	75.7172	4,438.48	46.4658	4,438.48	42.5111	4,438.48	39.9794
4,593.75	82.7737	4,593.75	82.2706	4,593.75	79.8693	4,593.75	75.7545	4,593.75	46.4955	4,593.75	42.3807	4,593.75	39.9794
4,757.81	82.5804	4,757.81	81.8732	4,757.81	79.6219	4,757.81	75.6983	4,757.81	46.1543	4,757.81	42.2307	4,757.81	39.9794
4,924.8	82.5811	4,924.8	81.547	4,924.8	79.4058	4,924.8	75.5106	4,924.8	46.0158	4,924.8	42.1207	4,924.8	39.9794
5,097.66	81.8792	5,097.66	81.2035	5,097.66	79.2219	5,097.66	75.2694	5,097.66	45.9135	5,097.66	41.961	5,097.66	39.9794
5,279.3	82.1734	5,279.3	80.9917	5,279.3	78.6672	5,279.3	74.6435	5,279.3	46.3276	5,279.3	42.3039	5,279.3	39.9794
5,463.87	82.117	5,463.87	80.903	5,463.87	78.4117	5,463.87	74.1552	5,463.87	46.7273	5,463.87	42.4707	5,463.87	39.9794
5,657.23	81.6357	5,657.23	80.5952	5,657.23	78.0864	5,657.23	73.8411	5,657.23	46.7335	5,657.23	42.4881	5,657.23	39.9794
5,856.45	81.9908	5,856.45	80.8202	5,856.45	77.9332	5,856.45	73.5885	5,856.45	47.2111	5,856.45	42.8663	5,856.45	39.9794
6,061.52	81.849	6,061.52	80.955	6,061.52	77.8704	6,061.52	73.5538	6,061.52	47.3806	6,061.52	43.064	6,061.52	39.9794
6,275.39	82.1097	6,275.39	81.1442	6,275.39	77.8415	6,275.39	73.5107	6,275.39	47.6129	6,275.39	43.2821	6,275.39	39.9794
6,498.05	81.7922	6,498.05	81.1579	6,498.05	77.8475	6,498.05	73.5046	6,498.05	47.6327	6,498.05	43.2898	6,498.05	39.9794
6,726.56	81.997	6,726.56	81.2966	6,726.56	77.8712	6,726.56	73.3954	6,726.56	47.8806	6,726.56	43.4048	6,726.56	39.9794
6,963.87	81.7237	6,963.87	81.0064	6,963.87	77.5084	6,963.87	73.018	6,963.87	47.9678	6,963.87	43.4774	6,963.87	39.9794
7,209.96	81.5504	7,209.96	80.7469	7,209.96	77.2191	7,209.96	72.7152	7,209.96	48.0112	7,209.96	43.5072	7,209.96	39.9794
7,464.84	81.0629	7,464.84	80.2976	7,464.84	76.8253	7,464.84	72.3376	7,464.84	47.9394	7,464.84	43.4517	7,464.84	39.9794
7,728.52	81.427	7,728.52	80.5604	7,728.52	76.921	7,728.52	72.332	7,728.52	48.2078	7,728.52	43.6188	7,728.52	39.9794
8,000.98	82.0047	8,000.98	81.0016	8,000.98	77.2695	8,000.98	72.4457	8,000.98	48.5353	8,000.98	43.7115	8,000.98	39.9794
8,282.23	83.0137	8,282.23	81.7128	8,282.23	77.8328	8,282.23	72.7869	8,282.23	48.9053	8,282.23	43.8593	8,282.23	39.9794
8,575.2	83.387	8,575.2	81.9546	8,575.2	77.9981	8,575.2	72.876	8,575.2	49.0579	8,575.2	43.9359	8,575.2	39.9794
8,876.95	83.4306	8,876.95	81.9315	8,876.95	77.917	8,876.95	72.7953	8,876.95	49.1156	8,876.95	43.994	8,876.95	39.9794
9,190.43	83.41	9,190.43	81.8589	9,190.43	77.8184	9,190.43	72.6722	9,190.43	49.1662	9,190.43	44.02	9,190.43	39.9794
9,512.7	83.5	9,512.7	81.9004	9,512.7	77.8153	9,512.7	72.5734	9,512.7	49.3064	9,512.7	44.0645	9,512.7	39.9794
9,849.61	83.7588	9,849.61	81.9833	9,849.61	77.896	9,849.61	72.5241	9,849.61	49.4385	9,849.61	44.0667	9,849.61	39.9794
10,195.3	83.8014	10,195.3	82.0289	10,195.3	77.9306	10,195.3	72.5206	10,195.3	49.4876	10,195.3	44.0777	10,195.3	39.9794
10,555.7	83.6158	10,555.7	81.9778	10,555.7	77.8405	10,555.7	72.4585	10,555.7	49.4987	10,555.7	44.1167	10,555.7	39.9794
10,927.7	83.2271	10,927.7	81.7562	10,927.7	77.5265	10,927.7	72.1803	10,927.7	49.5553	10,927.7	44.2091	10,927.7	39.9794
11,314.5	82.9742	11,314.5	81.4771	11,314.5	77.1374	11,314.5	71.8661	11,314.5	49.5904	11,314.5	44.319	11,314.5	39.9794
11,712.9	82.7381	11,712.9	81.1336	11,712.9	76.7745	11,712.9	71.6081	11,712.9	49.5049	11,712.9	44.3385	11,712.9	39.9794
12,126	82.6586	12,126	81.2731	12,126	76.9472	12,126	71.7289	12,126	49.5236	12,126	44.3052	12,126	39.9794
12,553.7	82.9999	12,553.7	81.7888	12,553.7	77.5	12,553.7	72.1286	12,553.7	49.6396	12,553.7	44.2681	12,553.7	39.9794
