* Measurement data measured by REW V5.20 Beta 53
* Source: C:\Users\Napie\Music\REW\Top Speakers\New Folder\4-SP.txt
* Format: Comma/Tab/Space delimited data
* Dated: May 26, 2020 2:53:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\Napie\Music\REW\Top Speakers\New Folder\4-SP.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: 4-SP
* Smoothing: None
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
302.039795	85.278893	10.4939
304.228485	85.325867	10.1331
306.433044	85.365906	9.7212
308.653595	85.371437	9.2739
310.890228	85.366013	8.8142
313.143066	85.370995	8.3634
315.412231	85.366035	7.9431
317.697845	85.327805	7.5796
320.000000	85.286125	7.2797
322.318848	85.265854	7.0856
324.654510	85.258995	6.9175
327.007080	85.270454	6.7062
329.376709	85.285950	6.4618
331.763519	85.290932	6.1625
334.167603	85.291008	5.8370
336.589142	85.287949	5.5034
339.028198	85.279045	5.1729
341.484924	85.260124	4.8595
343.959473	85.237068	4.5737
346.451935	85.211945	4.3463
348.962463	85.192039	4.1317
351.491211	85.193741	3.8876
354.038239	85.192039	3.6337
356.603760	85.165924	3.3245
359.187866	85.119179	3.1144
361.790680	85.017342	3.2288
364.412354	84.954071	3.4135
367.053040	85.062302	3.4969
369.712860	85.191666	3.4514
372.391968	85.206886	3.1176
375.090454	85.192055	2.7191
377.808533	85.192001	2.4507
380.546265	85.192001	2.2445
383.303864	85.181137	2.1372
386.081451	85.191917	2.0075
388.879150	85.278717	1.7339
391.697144	85.365776	1.3523
394.535522	85.376884	0.8223
397.394501	85.366043	0.2537
400.274170	85.365997	-0.2279
403.174744	85.365997	-0.7075
406.096313	85.371429	-1.2442
409.039062	85.366043	-1.7923
412.003113	85.328072	-2.3300
414.988647	85.279167	-2.8434
417.995850	85.241135	-3.3226
421.024811	85.192184	-3.7338
424.075714	85.104790	-4.0399
427.148743	85.017258	-4.2415
430.244049	84.962700	-4.2921
433.361786	84.930069	-4.2960
436.502106	84.924561	-4.3448
439.665161	84.929977	-4.4316
442.851166	84.930000	-4.5894
446.060242	84.929993	-4.7893
449.292572	84.930000	-5.0127
452.548340	84.930000	-5.2632
455.827698	84.930000	-5.5361
459.130798	84.930000	-5.8390
462.457855	84.931870	-6.1803
465.809021	84.930016	-6.5527
469.184448	84.920479	-6.9707
472.584381	84.900085	-7.3778
476.008911	84.852905	-7.6989
479.458252	84.813095	-8.0031
482.932617	84.822510	-8.3115
486.432159	84.842941	-8.6946
489.957031	84.853554	-9.2677
493.507477	84.843071	-9.9180
497.083618	84.786301	-10.5960
500.685699	84.704308	-11.2241
504.313873	84.598022	-11.6541
507.968323	84.503250	-12.0468
511.649292	84.484673	-12.5253
515.356934	84.457161	-13.0592
519.091370	84.343086	-13.7356
522.852966	84.182587	-14.3243
526.641724	83.973526	-14.5787
530.458008	83.766632	-14.6321
534.301941	83.632164	-14.5204
538.173706	83.510414	-14.2939
542.073547	83.355049	-14.0467
546.001648	83.194550	-13.6835
549.958191	83.041245	-13.1323
553.943420	82.898438	-12.4146
557.957520	82.771576	-11.5287
562.000671	82.666313	-10.4729
566.073181	82.580215	-9.2073
570.175171	82.543022	-7.8426
574.306885	82.595474	-6.4554
578.468567	82.702560	-5.1105
582.660400	82.827286	-3.8441
586.882568	83.015213	-2.8180
591.135376	83.329964	-2.1702
595.419006	83.681808	-2.0085
599.733643	84.009506	-2.5647
604.079590	84.289139	-3.6066
608.456970	84.473259	-5.0494
612.866089	84.571815	-6.6784
617.307190	84.570824	-8.2949
621.780457	84.495354	-9.7645
626.286133	84.346230	-10.8445
630.824463	84.182510	-11.6627
635.395691	84.084183	-12.2520
640.000000	83.990341	-12.6598
644.637695	83.849876	-12.9561
649.309021	83.711441	-13.1057
654.014160	83.612358	-13.0626
658.753418	83.537216	-12.9286
663.527039	83.483025	-12.7739
668.335205	83.449074	-12.6483
673.178284	83.447624	-12.6619
